real_band,real_lt_id,real_content,framework,external_content,source_label,confidence
A,lt_1_1_band_a,"""I can notice what my body is telling me, name a feeling, and use one calming strategy to return to learning."" (LT 1.1)",Welsh CfW H&W,"""I can notice and communicate how I am feeling""",Progression Step 1,high
A,lt_1_1_band_a,"""I can notice what my body is telling me, name a feeling, and use one calming strategy to return to learning."" (LT 1.1)",CASEL SEL,"""I can identify my own emotions and describe my personal characteristics and needs"" / ""The student holds a sustained orientation toward recognizing their emotions and practicing regulatory strategies""",Pre-K + K-1 (Band A),high
A,lt_1_1_band_a,"""I can notice what my body is telling me, name a feeling, and use one calming strategy to return to learning."" (LT 1.1)",Circle Solutions,"""The student practises calming strategies like controlled breathing when experiencing strong emotions."" (Consistent Self-Regulation Practice) / ""I can use a variety of specific words to describe my emotions in different situations."" (Emotional Vocabulary and Expression)",Year 2 (Band A/B) v2,high
A,lt_1_2_band_a,"""I can name a feeling another person might be having and offer a kind word or a specific helpful action."" (LT 1.2)",Welsh CfW H&W,"""I have an awareness of the feelings of others. I am aware of when others are kind to me and when I am kind to others.""",Progression Step 1,high
A,lt_1_2_band_a,"""I can name a feeling another person might be having and offer a kind word or a specific helpful action."" (LT 1.2)",CASEL SEL,"""I can describe individual characteristics and recognize how others may be feeling"" / ""The student consistently responds to others with empathy, compassion, and genuine care""",Pre-K + K-1 (Band A),high
A,lt_1_2_band_a,"""I can name a feeling another person might be having and offer a kind word or a specific helpful action."" (LT 1.2)",Circle Solutions,"""I can explain how someone might feel in different situations."" (Predicting Others' Emotional Responses) / ""I can identify basic emotions from facial expressions and body language."" (Recognizing Emotional Expressions)",Year 2 (Band A/B) v2,high
A,lt_4_1_band_a,"""I can name private body parts correctly and say who my trusted adults are that help keep me safe."" (LT 4.1)",UK DfE Statutory RSHE,"""positive relationships, boundaries, privacy, and children's rights over their own bodies and personal information""",End of Primary,high
A,lt_3_2_band_a,"""I can name a trusted adult I can ask for help and practise a simple self-care routine."" (LT 3.2)",UK DfE Statutory RSHE,"""Where to get advice e.g. family, school and/or other sources""",End of Primary,high
A,lt_3_2_band_a,"""I can name a trusted adult I can ask for help and practise a simple self-care routine."" (LT 3.2)",Welsh CfW H&W,"""I am beginning to know how to respond and get help in a safe way when behaviours, conditions and situations affect my physical health and well-being""",Progression Step 1,high
A,lt_3_1_band_a,"""I can name my body's basic needs and practise simple personal hygiene routines with reminders."" (LT 3.1)",Welsh CfW H&W,"""I am beginning to make connections between my diet and my physical health and well-being.""",Progression Step 1,"apparent-only (REAL is a broad needs/hygiene statement; CfW is diet-specific. Same domain, different grain.)"
A,lt_2_2_band_a,"""I can retell a short experience and state one thing I learned from it."" (LT 2.2)",Welsh CfW H&W,"""I have developed an awareness that my decisions can affect me and others""",Progression Step 1,apparent-only (REAL frames as experiential reflection; CfW frames as decision-impact awareness. Related but not the same construct.)
A,lt_5_1_band_a,"""I can take turns in conversation, use kind words, and use an I-statement."" (LT 5.1)",CASEL SEL,"""I can express my feelings and needs clearly and use problem-solving strategies when conflicts arise"" / ""I can demonstrate strategies for joining social play and working cooperatively""",Pre-K + K-1 (Band A),high
A,lt_5_1_band_a,"""I can take turns in conversation, use kind words, and use an I-statement."" (LT 5.1)",Circle Solutions,"""I can identify and communicate positive qualities about my classmates and describe actions that build good friendships."" (Expressing Positive Affirmations)",Year 2 (Band A/B) v2,high
A,lt_5_2_band_a,"""I can do a classroom job and explain how it helps our class."" (LT 5.2)",CASEL SEL,"""I can share my independent thoughts and ideas with classmates.""",K-1 (Band A),"apparent-only (REAL is community contribution through action; CASEL is idea-sharing with peers. Same setting, different epistemic intent.)"
A,lt_7_1_band_a,"""I can describe one thing I noticed about how I reacted to a situation and say what I might do differently next time."" (LT 7.1)",CASEL SEL,"""I can use problem-solving strategies and consider ideas from others to find solutions""",Pre-K (Band A),"apparent-only (REAL is metacognitive self-observation; CASEL is problem-solving orientation. Related process, different construct.)"
A,,"""I can clearly, firmly, and politely communicate my needs and wants in conflict situations."" (Circle Solutions Year 2 Dim 9)",REAL,"""I can name private body parts correctly and say who my trusted adults are that help keep me safe."" (LT 4.1)",Year 2 (Band A/B) v2,"apparent-only (CS Year 2 assertiveness precedes REAL's full consent framing; both address self-advocacy at early ages, but REAL names bodies and trusted adults specifically.)"
B,lt_1_1_band_b,"""I can identify a common personal trigger and choose a practised strategy to manage my response."" (LT 1.1)",Welsh CfW H&W,"""I can understand how and why my thoughts, feelings and actions change in response to different experiences""",Progression Step 2,apparent-only (REAL is action-level — choose a strategy; CfW is understanding-level — recognise change. Different epistemic depth.)
B,lt_1_1_band_b,"""I can identify a common personal trigger and choose a practised strategy to manage my response."" (LT 1.1)",CASEL SEL,"""I can identify emotions and explain how they influence my thoughts and behaviors"" / ""I can identify strategies to express emotions safely and set goals with steps for progress""",Grade Band 2-3 (Band B),high
B,lt_3_1_band_b,"""I can explain how sleep, food, and movement affect how I feel, and set a goal for one healthy habit."" (LT 3.1)",Welsh CfW H&W,"""I have developed an understanding that I need a balanced diet"" / ""I can make informed choices about the food I eat and prepare to support my physical health and well-being""",Progression Step 2,"apparent-only (REAL integrates sleep, food, movement; CfW emphasises nutrition specifically. Partial thematic overlap.)"
B,lt_4_1_band_b,"""I can set and respect boundaries, ask for clear consent, and seek help if I feel pressured."" (LT 4.1)",UK DfE Statutory RSHE,"""Setting and respecting healthy boundaries in relationships with friends, family, peers and adults"" / ""how to be assertive and express needs and boundaries""",End of Primary,high
B,lt_2_2_band_b,"""I can stop and state at least one helpful and one harmful possible outcome before making a choice."" (LT 2.2)",CASEL SEL,"""I can recognize available choices in situations and describe their potential consequences""",Grade Band 2-3 (Band B),high
B,lt_5_1_band_b,"""I can use I-statements to state my needs, ask about boundaries, and propose two options for resolving a conflict."" (LT 5.1)",CASEL SEL,"""I can communicate respectfully and collaborate effectively in group settings.""",Grade Band 2-3 (Band B),high
B,lt_1_2_band_b,"""I can describe a situation from another person's perspective and ask if they would like help before acting."" (LT 1.2)",UK DfE Statutory RSHE,"""skills for developing caring, kind friendships"" / ""reflect on how to behave with kindness in more complex or challenging relationships""",End of Primary,apparent-only (REAL is a dispositional perspective-taking skill; RSHE is propositional knowledge about friendship qualities.)
B,lt_1_2_band_b,"""I can describe a situation from another person's perspective and ask if they would like help before acting."" (LT 1.2)",CASEL SEL,"""I can identify emotions in others and explain how people can be similar or different"" / ""I can identify empathetic reactions in others and express gratitude appropriately""",Grade Band 2-3 (Band B),high
B–C,lt_2_2_band_b-c,"""I can stop and state at least one helpful and one harmful possible outcome before making a choice."" (LT 2.2)",Welsh CfW H&W,"""I can recognise that my decisions can impact on me and others, both now and in the future."" / ""I can identify and assess risks""",Progression Step 2,high
B–C,lt_1_2_band_b-c,"""I can describe a situation from another person's perspective and ask if they would like help before acting."" (LT 1.2)",Circle Solutions,"""I can identify what I share in common with others and how I am different from them."" (Recognizing Similarities and Differences) / ""I can participate in creating environments where everyone feels they belong."" (Contributing to Inclusive Communities)",Year 2 (Band A/B) v2,high
C,lt_1_1_band_c,"""I can apply a chosen strategy in a challenging situation and reflect on how well it worked."" (LT 1.1)",Welsh CfW H&W,"""I can self-regulate my emotions in a healthy way using strategies that I have developed""",Progression Step 3,high
C,lt_1_1_band_c,"""I can apply a chosen strategy in a challenging situation and reflect on how well it worked."" (LT 1.1)",CASEL SEL,"""I can evaluate my emotional responses and demonstrate appropriate ways to advocate for my needs"" / ""The student enacts consistent emotional self-regulation and demonstrates courage to persevere""",Grade Band 4-5 (Band C),high
