## source_type,ontario_grade
## band_count,1
## age_range_hint,ages 12-13 (Ontario Ministry of Education K-12 schedule)
## detection_confidence,high
## progression_philosophy,Grade-level expectations published at grade-level granularity. Each grade's curriculum is designed to be met by learners in that grade by year's end. Ontario does not define sub-grade progression bands within curriculum documents; within-year sequencing is a school and teacher decision. Single-band output reflects the source's own granularity.
## band_detail | Grade 7,age_range=ages 12-13,grade_year=Grade 7,"Grade 7 learners are in the first year of the Intermediate level (Grades 7-8). In History, they examine social, political, economic, and legal changes in Canada between 1713 and 1850, including New France and British North America. They apply disciplinary historical-thinking concepts (Continuity and Change, Cause and Consequence, Historical Perspective, Historical Significance) and inquiry skills to analyse primary and secondary sources."

competency_cluster,lt_id,lt_name,lt_definition,knowledge_type,assessment_route,lt_stability,kud_items_covered,prerequisites,grade_7,band_statements_stability,band_gate_status
cluster_01: Historical Evidence Analysis and Source Evaluation,cluster_01_lt_01,Evaluating Source Credibility and Perspective,"I can assess the credibility of historical sources by analysing perspective, bias, authenticity, purpose, context, and author expertise.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0083_item_01; blk_0191_item_01; blk_0192_item_01,,I can evaluate the credibility of a historical source by identifying the author's perspective and purpose.,stable,PASS
cluster_01: Historical Evidence Analysis and Source Evaluation,cluster_01_lt_02,Analysing Evidence from Diverse Source Types,I can gather and critically analyse evidence from primary sources of different types to form and justify conclusions about historical events and issues.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0004_item_01; blk_0078_item_01; blk_0080_item_01; blk_0091_item_01; blk_0093_item_01; blk_0190_item_01,Evaluating Source Credibility and Perspective,I can analyse primary sources of different types to identify evidence and explain what it reveals about a historical event.,band_statements_unstable,PASS
cluster_02: Cartographic Analysis and Map Use,cluster_02_lt_01,Interpreting Maps to Analyse Spatial Patterns,"I can analyse maps to identify and explain historical patterns of displacement, settlement, and spatial relationships.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0039_item_02; blk_0086_item_01; blk_0086_item_02; blk_0088_item_01; blk_0090_item_01; blk_0193_item_02; blk_0194_item_03,,I can analyse maps to identify and explain patterns of historical settlement and displacement.,stable,PASS
cluster_02: Cartographic Analysis and Map Use,cluster_02_lt_02,Creating and Designing Maps for Historical Investigation,"I can create maps using paper or digital tools to represent historical events, displacement patterns, and settlement trends.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0039_item_01; blk_0039_item_03; blk_0086_item_03; blk_0193_item_02; blk_0194_item_02; blk_0199_item_04,,I can create maps using digital or paper tools to represent historical events and settlement patterns.,stable,PASS
cluster_02: Cartographic Analysis and Map Use,cluster_02_lt_03,Justifying Map Design Choices for Historical Inquiry,"I can identify and justify what information and map types are needed to represent historical alliances, conflicts, and spatial relationships.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0089_item_01; blk_0194_item_04; blk_0197_item_01,,I can justify why specific map types and information effectively represent historical alliances and conflicts.,stable,PASS
cluster_03: Contextual Understanding and Anti-Presentism,cluster_03_lt_01,Understanding Historical Actors in Context,"The student sustains a default orientation to understand historical actors' and communities' decisions, perspectives, and actions within their own context's values, beliefs, knowledge, and constraints, resisting presentism across all historical encounters.",Type 3,multi_informant_observation,stable,blk_0044_item_03; blk_0062_item_02; blk_0066_item_02; blk_0155_item_02; blk_0168_item_02; blk_0173_item_01; blk_0192_item_02; blk_0206_item_02; blk_0223_item_02; blk_0228_item_02,,,,N/A (Type 3)
cluster_03: Contextual Understanding and Anti-Presentism,cluster_03_lt_02,Attending to Perspective and Change Over Time,"The student sustains an orientation to notice continuity and change across multiple dimensions, seek diverse perspectives including Indigenous voices, question whose perspectives are represented in sources, and consult multiple sources by default when examining historical material.",Type 3,multi_informant_observation,stable,blk_0044_item_02; blk_0081_item_01; blk_0082_item_01; blk_0084_item_01; blk_0088_item_02; blk_0258_item_02,,,,N/A (Type 3)
cluster_05: Displacement and Forced Migration in Canadian History,cluster_05_lt_01,Analysing Causes and Contexts of Displacement,"I can analyse the causes, contexts, and multiple perspectives underlying displacement events for various groups in Canadian history between 1713 and 1850.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0056_item_01; blk_0058_item_01; blk_0064_item_01; blk_0169_item_01; blk_0170_item_03; blk_0171_item_01; blk_0172_item_01,,I can explain the causes and different viewpoints surrounding displacement of groups in Canadian history.,stable,PASS
cluster_05: Displacement and Forced Migration in Canadian History,cluster_05_lt_02,Evaluating Responses and Comparative Consequences,I can evaluate how displaced groups responded to displacement and compare displacement experiences across different historical periods and communities.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0056_item_02; blk_0062_item_01; blk_0171_item_01; blk_0172_item_01,,I can compare how different displaced groups responded to forced migration and identify similarities in their experiences.,band_statements_unstable,PASS
cluster_05: Displacement and Forced Migration in Canadian History,cluster_05_lt_03,Understanding Displacement Narratives and Contexts,"I can identify and describe the displacement experiences of Indigenous peoples, Acadians, Loyalists, enslaved people, and immigrants, and explain the social attitudes and conditions that shaped these experiences.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0048_item_01; blk_0059_item_01; blk_0170_item_01; blk_0170_item_02,,I can describe the displacement experiences of different groups in Canadian history and explain the social conditions that caused them.,stable,PASS
