Competency,Competency Definition,LT Name,LT Definition,Grade 7,Knowledge Type,Flags
Chronological Understanding,The ability to locate and identify diverse cultural communities within their geographical contexts as a foundation for understanding historical settlement patterns.,Community Geography,"I can identify major First Nations, Métis, Inuit, French, and British communities by location.","I can identify major First Nations, Métis, Inuit, French, and British communities by their geographical locations.",T1,SOURCE_FAITHFULNESS_FAIL
Chronological Understanding,The capacity to organize and present historical information using appropriate structural formats and academic conventions for clear communication.,Historical Communication,"I can organize historical information into clear, structured formats with appropriate conventions.","I can organize historical information into clear, structured formats with appropriate conventions.",T1,SOURCE_FAITHFULNESS_FAIL
Historical Thinking Concepts,"The ability to apply systematic historical thinking frameworks to evaluate the importance and impact of events, people, and developments in the past.",Historical Thinking Analysis,I can apply historical thinking concepts to analyze significance and consequence.,I can apply historical thinking concepts to analyze significance and consequence in historical evidence.,T2,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry Process,The capacity to recognize and examine how various groups experienced and understood the same historical events differently.,Multiple Perspectives Analysis,I can analyze how different groups held distinct viewpoints and experiences regarding the same historical events.,I can analyze how different groups held distinct viewpoints and experiences regarding the same historical events.,T2,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry Process,The skill to examine how encounters between various communities generated conflicting viewpoints that influenced historical development.,Community Interactions Analysis,I can analyze how interactions among diverse communities created competing perspectives that shaped early Canadian development.,I can analyze how interactions among diverse communities created competing perspectives that shaped early Canadian development.,T2,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry Process,The ability to examine how governmental decisions affected Indigenous peoples while considering multiple viewpoints on these impacts.,Colonial Impact Analysis,I can analyze how colonial policies created lasting consequences for Indigenous communities across multiple perspectives,I can analyze how colonial policies created lasting consequences for Indigenous communities across multiple perspectives,T2,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry Process,The capability to examine historical materials by assessing diverse viewpoints and determining the strength of evidence.,Source Interpretation,I can interpret historical sources by evaluating different perspectives and the quality of evidence presented.,I can interpret historical sources by evaluating different perspectives and the quality of evidence presented.,T2,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry Process,The proficiency to use organized research approaches when examining past events and historical problems.,Historical Inquiry Methods,I can apply systematic inquiry methods to investigate historical events and issues.,I can apply systematic inquiry methods to investigate historical events and issues.,T2,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry Process,The skill to build historical explanations through evidence analysis and develop logical arguments about historical significance.,Historical Interpretation Construction,"I can construct historical interpretations by analyzing evidence and making reasoned arguments about causes, consequences, or significance.","I can construct historical interpretations by analyzing evidence and making reasoned arguments about causes, consequences, or significance.",T2,SOURCE_FAITHFULNESS_FAIL
Historical Empathy Perspective,The development of self-awareness and reflexive thinking about one's own perspectives when encountering historical narratives and evidence.,Historical Self-Awareness,I can recognize and reflect on my own biases when studying history.,I can recognize and reflect on my own biases and assumptions when studying historical events.,T3,SOURCE_FAITHFULNESS_FAIL
Historical Empathy Perspective,The cultivation of patience and persistence in gradually building one's capacity to connect emotionally and intellectually with past human experiences.,Empathy Development,I can appreciate that historical empathy develops through practice over time.,I can appreciate that my capacity for historical empathy develops over time through practice.,T3,SOURCE_FAITHFULNESS_FAIL
Historical Empathy Perspective,"The habit of approaching different historical perspectives and experiences with openness, curiosity, and respect for human dignity across time periods.",Respectful Historical Engagement,I can engage respectfully with diverse historical experiences and viewpoints.,I can engage respectfully with diverse historical experiences and viewpoints.,T3,COMPOUND_TYPE|SOURCE_FAITHFULNESS_FAIL
Primary Secondary Source Analysis,"The ability to examine and evaluate primary and secondary sources by identifying perspective, bias, and reliability to form evidence-based historical interpretations.",Source Analysis,"I can analyze historical sources for perspective, bias, and reliability using evidence.","I can analyze historical sources for perspective, bias, and reliability using evidence to support interpretations.",T2,SOURCE_FAITHFULNESS_FAIL
Critical Thinking Disposition,"The cultivation of persistent intellectual habits that drive students to question, examine, and seek multiple perspectives when encountering historical evidence.",Critical Thinking Disposition,"I can habitually question sources, examine bias, and consider multiple interpretations.","I can habitually question sources, examine bias, and consider multiple interpretations when engaging with historical evidence.",T3,SOURCE_FAITHFULNESS_FAIL
