competency_cluster,lt_id,lt_name,knowledge_type,stability,gate_passed,gate_failures,competent_framing_flag,competent_framing_judge_rationale,propositional_thin_flag,no_evidence,emerging,developing,competent,extending,prerequisite_edges,diagnostic
cluster_02: Models of Representative Democracy,cluster_02_lt_01,Distinguishing Models of Representative Democracy,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated independently at the LT's level of demand, with no hedging language or framing of incompleteness.",False,No attempt to identify or explain the models.,Names one or two models with minimal or inaccurate characteristics.,Identifies all three models and describes some characteristics independently but with incomplete or imprecise explanations.,"Explains key characteristics of participatory, pluralist, and elite models of representative democracy accurately and independently.","Compares and contrasts the three models, identifying tensions and assumptions underlying each framework.",,
cluster_04: Weaknesses of the Articles of Confederation,cluster_04_lt_01,Identifying Key Weaknesses in the Articles,Type 1,rubric_unstable,FAIL,single_construct,pass,"The descriptor directly states the learner 'identifies how' the specified limitations affected the Articles, which matches the LT's demand without hedging language or framing Competent as incomplete.",False,No attempt to identify Articles weaknesses.,Names military or executive absence but with incomplete or inaccurate explanation of impact.,Identifies lack of centralized military power and absent executive branch independently but lacks depth on limitations.,Identifies how lack of centralized military power and absence of executive branch limited the Articles' effectiveness.,Connects identified weaknesses to specific historical incidents or explains cascading effects on federal governance.,cluster_03_lt_01 [pedagogical_sequencing/medium] Understanding Federalist arguments for strong central government provides context for why Articles weaknesses mattered.; cluster_04_lt_02 [pedagogical_sequencing/medium] Connecting incidents to constitutional gaps builds on identifying weaknesses as foundational knowledge.,
cluster_04: Weaknesses of the Articles of Confederation,cluster_04_lt_02,Connecting Incidents to Constitutional Inadequacies,Type 1,rubric_unstable,PASS,,pass,"The descriptor directly states the learner 'explains how' the connection works, matching the LT's demand without hedging, incompleteness markers, or positioning it as a waystation to Extending.",False,No attempt to connect incidents to Articles weaknesses.,"With support, identifies an incident and names a weakness but does not explain the connection.",Independently explains how one incident exposed a specific Articles weakness but lacks depth or precision.,Explains how specific incidents like Shays' Rebellion exposed gaps between Articles provisions and federal government needs.,Analyzes multiple incidents to construct a comprehensive argument about systemic inadequacies in the Articles.,cluster_04_lt_01 [ontological_prerequisite/high] Must identify specific weaknesses in the Articles before explaining how incidents exposed those gaps.,
cluster_05: Constitutional Compromises and Ratification,cluster_05_lt_01,Identifying Key Constitutional Compromises,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the learner can identify and accurately describe major compromises and their structural outcomes, which directly matches the LT's demand and stands alone as success without hedging or incompleteness language.",True,No attempt to identify or describe constitutional compromises.,Names one or two compromises with minimal or inaccurate structural detail.,Identifies several major compromises independently but describes structural outcomes incompletely or inconsistently.,Identifies major compromises and accurately describes how each shaped constitutional structure and resolved conflicts.,Identifies compromises and explains how they reflect broader ideological tensions or constrained later constitutional interpretation.,cluster_04_lt_01 [pedagogical_sequencing/medium] Understanding Articles of Confederation weaknesses provides context for why compromises were necessary at the Convention.; cluster_03_lt_01 [pedagogical_sequencing/medium] Federalist arguments for strong central government illuminate the motivations behind key compromises at the Convention.; cluster_03_lt_02 [pedagogical_sequencing/medium] Anti-Federalist concerns about centralized power explain the opposing interests that compromises had to balance.,
cluster_05: Constitutional Compromises and Ratification,cluster_05_lt_02,Explaining How Compromises Shaped Constitutional Structure,Type 1,rubric_unstable,FAIL,single_construct,pass,"The descriptor declares the capability as demonstrated ('Explains how multiple specific compromises...') without hedging language, incompleteness markers, or positioning it as a way-station to Extending.",False,No attempt to explain how compromises shaped the Constitution.,Names a compromise but explanation of its conflict resolution is incomplete or inaccurate.,Explains how one or two compromises resolved specific conflicts independently but lacks depth or scope.,Explains how multiple specific compromises resolved state-federal conflicts and shaped constitutional structure.,Explains how compromises interconnect to address competing interests across multiple constitutional dimensions.,cluster_05_lt_01 [ontological_prerequisite/high] Must identify what the compromises were before explaining how they shaped structure and resolved conflicts.; cluster_03_lt_01 [pedagogical_sequencing/medium] Understanding Federalist arguments for central government provides context for why compromises between state and federal power were necessary.; cluster_03_lt_02 [pedagogical_sequencing/medium] Understanding Anti-Federalist concerns about centralized power clarifies the conflicts that compromises were designed to resolve.; cluster_04_lt_02 [pedagogical_sequencing/medium] Understanding how historical incidents exposed gaps in the Articles provides motivation for why Constitutional compromises were needed.,
cluster_07: Federalism and the Distribution of Power,cluster_07_lt_01,Identifying Types of Governmental Powers,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the learner as independently demonstrating the capability to identify, distinguish, and explain all three power types and their authority allocation—matching the LT's level of demand with no hedging language or incompleteness framing.",False,No attempt to identify or distinguish types of governmental powers.,"With support, names exclusive, reserved, or concurrent powers but confuses their definitions or allocation.",Independently identifies and distinguishes the three power types but incompletely explains their allocation between governments.,"Identifies and distinguishes exclusive, reserved, and concurrent powers and accurately explains how each allocates authority between national and state governments.",Applies the power typology to novel constitutional scenarios or integrates it with separation of powers principles.,cluster_03_lt_01 [pedagogical_sequencing/medium] Federalist arguments for strong central government provide historical context for understanding why certain powers are allocated to the national level.; cluster_03_lt_02 [pedagogical_sequencing/medium] Anti-Federalist concerns about centralized power establish the tension that the power-distribution framework resolves.; cluster_05_lt_02 [pedagogical_sequencing/medium] Understanding how compromises shaped the Constitution's framework helps explain why powers are distributed as they are.,
cluster_07: Federalism and the Distribution of Power,cluster_07_lt_03,Distinguishing Federal Funding Mechanisms,Type 1,stable,PASS,,pass,"The descriptor declares the capability as demonstrated without hedging language, frames Competent as meeting the LT's demands (identify, compare, explain), and stands alone as success without implying incompleteness.",False,No attempt to identify or compare federal funding mechanisms.,"With support, names one or two funding mechanisms but comparisons are incomplete or inaccurate.",Independently identifies multiple funding mechanisms and makes partial comparisons but lacks clear explanation of power distribution.,Identifies and compares distinct federal funding mechanisms and explains how each reflects the distribution of power between national and state governments.,Compares funding mechanisms across policy domains and evaluates how funding choices strategically shift power between governmental levels.,"cluster_07_lt_01 [ontological_prerequisite/high] Understanding exclusive, reserved, and concurrent powers is foundational to recognizing how funding mechanisms allocate authority between levels.; cluster_05_lt_02 [pedagogical_sequencing/medium] Knowledge of how constitutional compromises shaped federalism structure provides context for understanding modern funding mechanisms.; cluster_03_lt_01 [pedagogical_sequencing/medium] Federalist arguments for central government authority establish the historical rationale underlying federal funding mechanisms.",
cluster_09: Describing Political Principles and Institutions,cluster_09_lt_01,Identifying Political Principles and Institutions,Type 1,stable,PASS,,pass,"The descriptor declares independent, accurate identification across different scenarios and contexts, which directly matches the LT's demand and stands alone as success without hedging or incompleteness language.",True,No attempt to identify political principles or institutions.,"With support, identifies one or two political principles or institutions but with inaccuracy or confusion.",Independently identifies relevant political principles or institutions in familiar contexts but misses some or hesitates with novel scenarios.,"Independently identifies political principles, institutions, processes, policies, and behaviors accurately across different scenarios and contexts.",Identifies political elements and distinguishes relationships between them across complex or unfamiliar contexts.,,
cluster_09: Describing Political Principles and Institutions,cluster_09_lt_02,Describing Political Principles in Context,Type 2,stable,PASS,,pass,"The descriptor declares independent capability to describe how political elements operate across different scenarios and contexts accurately, which directly matches the LT's demand and stands alone as success without hedging or incompleteness language.",False,No attempt to describe how a principle or institution operates.,"With support, names a principle or institution but describes it incompletely or inaccurately across contexts.",Independently describes how a principle or institution operates in one familiar context but struggles to transfer across scenarios.,"Independently describes how political principles, institutions, processes, policies, or behaviors operate across different scenarios and contexts accurately.",Describes how principles and institutions operate across contexts and explains relationships or tensions between them.,cluster_09_lt_01 [ontological_prerequisite/high] Identifying principles and institutions is foundational; describing how they operate requires first recognizing what they are.; cluster_06_lt_01 [pedagogical_sequencing/medium] Understanding separation of powers and checks provides essential institutional knowledge for describing how core governmental structures operate in context.; cluster_07_lt_01 [pedagogical_sequencing/medium] Identifying types of powers is typically established before explaining how power distribution operates across different policy scenarios.,
cluster_10: Analysing Arguments and Sources,cluster_10_lt_01,Identifying Arguments and Perspectives in Sources,Type 2,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated independently and at the LT's level of demand ('identifies and extracts...accurately'), with no hedging language or framing of incompleteness.",False,No attempt to identify an argument or perspective.,"With support, names a topic but does not isolate the main argument or perspective clearly.",Independently identifies a main argument or perspective but may miss nuance or secondary claims.,Independently identifies and extracts the main argument or perspective presented in a political source accurately.,Identifies the main argument and distinguishes it from related secondary claims or unstated assumptions.,cluster_09_lt_01 [ontological_prerequisite/high] Identifying political principles and institutions in scenarios is foundational to recognizing arguments rooted in those concepts.,
