item_id,kud_column,knowledge_type,assessment_route,content,source_block_id,source_excerpt,classification_stability,underspecification_flag,rationale
blk_0045_item_01,know,Type 1,rubric_with_clear_criteria,Know the definition of governmental terms: citizens and other people in the country.,blk_0045,L99-100: know the definition of governmental terms citizens and other people in the country.,stable,mild,"Step 0.1: This is propositional content — factual definitions of governmental vocabulary. No prerequisite chain is stated, but definitions are foundational knowledge that must be held before reasoning about governmental structures or citizenship. Type 1 hierarchical knowledge; assessed via knowledge check or definition rubric."
blk_0063_item_01,know,Type 1,rubric_with_clear_criteria,"Political principles, institutions, processes, policies, and behaviors illustrated in different scenarios",blk_0063,"L141-142: Describe political principles, institutions, processes, policies, and behaviors illustrated in different scenarios in context.",classification_unstable,mild,Decision-tree branch 1: the source names propositional content (facts and concepts about political systems) that must be held in order to describe them. This is foundational knowledge with a fixed conceptual structure.
blk_0084_item_01,know,Type 1,rubric_with_clear_criteria,"The facts, issue, holding, reasoning, decision, and majority Federalism opinion of required Supreme Court cases",blk_0084,"L172-174: Describe the facts, issue, holding, reasoning, decision, and majority Federalism opinion of required Supreme Court cases.",stable,null,"This content describes propositional knowledge with a fixed structure (facts, issue, holding, reasoning, decision, opinion) that must be understood before learners can analyse or reason about case law. The elements form a prerequisite sequence: facts must be known before the issue can be grasped, the holding depends on understanding the reasoning, etc. This is hierarchical knowledge assessable via knowledge test or rubric with clear criteria for completeness and accuracy of each element."
blk_0119_item_01,know,Type 1,rubric_with_clear_criteria,"Political principles, institutions, processes, and policies that characterise democracies",blk_0119,"L234-239: Describe political principles, institutions, processes, Democracy policies, and behaviors illustrated in different scenarios in context.",stable,mild,Propositional content with a fixed conceptual structure. These are factual and conceptual elements learners must hold in order to apply them to scenarios. Decision tree branch 1: hard prerequisite sequence — learners cannot describe democratic systems in context without knowing what these elements are.
blk_0125_item_01,know,Type 1,rubric_with_clear_criteria,the concept of 'state of nature' in the absence of government,blk_0125,"L247-248: “state of nature” in the absence of government,",stable,mild,This is a propositional concept — a foundational idea in political philosophy that the learner must hold as factual/conceptual knowledge. It does not describe a skill deployed on occasion or a sustained orientation. It is hierarchical knowledge: understanding this concept is a prerequisite for understanding later theories of government legitimacy and social contract.
blk_0137_item_01,know,Type 1,rubric_with_clear_criteria,"The four principles that ensure the ideal of limited government are separation of powers, checks and balances, federalism, and republicanism.",blk_0137,L283-290: The ideal of limited government is ensured by (Declaration of the interaction of these principles: Independence) i. Separation of powers ii. Checks and balances iii. Federalism iv. Republicanism,stable,mild,This is propositional factual content — a set of concepts and their relationship to a central claim. The learner must hold this knowledge as a prerequisite to understanding how limited government is structured. Decision tree branch 1: hard prerequisite sequence exists; these concepts must be known before their mechanisms can be analysed.
blk_0142_item_01,know,Type 1,rubric_with_clear_criteria,The Philadelphia Convention was led by George Washington with important contributions from Hamilton and members of the Grand Committee.,blk_0142,"L298-306: Convention in Philadelphia that was led by George Washington (with important contributions from Hamilton and members of the “Grand Committee”), is an example of a social contract and establishes a system of limited government. The Constitution provides the blueprint for a unique form of democratic government in the United States. |",stable,null,Factual propositional content about a historical event and its key participants. This is a fixed fact that must be known before understanding the Convention's significance or outcomes. Decision-tree branch 1: hard prerequisite sequence for later understanding of the Constitution's origins.
blk_0155_item_01,know,Type 1,rubric_with_clear_criteria,Pluralist democracy emphasizes group-based activism by nongovernmental interests striving for impact on political decision making,blk_0155,"L334-340: and civil society ii. Pluralist democracy, which emphasizes group-based activism by nongovernmental interests striving for impact on political decision making iii. Elite democracy, which emphasizes limited participation in politics and civil society",stable,mild,"Propositional definition of a political system concept. Decision tree branch 1: this is factual/conceptual content with no prerequisite chain within the statement itself, but it is a discrete concept that can be tested for accurate recall and understanding."
blk_0155_item_02,know,Type 1,rubric_with_clear_criteria,Elite democracy emphasizes limited participation in politics and civil society,blk_0155,"L334-340: and civil society ii. Pluralist democracy, which emphasizes group-based activism by nongovernmental interests striving for impact on political decision making iii. Elite democracy, which emphasizes limited participation in politics and civil society",stable,mild,Propositional definition of a political system concept. Decision tree branch 1: factual/conceptual content assessable through knowledge check or explanation task.
blk_0159_item_01,know,Type 1,rubric_with_clear_criteria,The three models of representative democracy continue to be reflected in contemporary institutions and political behavior.,blk_0159,L349-352: The three models of representative democracy continue to be reflected in contemporary institutions and political behavior. |,stable,null,This is a propositional claim about how the world works — a factual statement that the three models of representative democracy persist in and shape current political institutions and behaviour. It requires learners to hold and recall this conceptual relationship. Decision tree branch 1: hard prerequisite sequence exists (learners must understand what the three models are before understanding how they manifest in contemporary contexts). Type 1 propositional knowledge assessed via knowledge test or explanation rubric.
blk_0167_item_01,know,Type 1,rubric_with_clear_criteria,"Political principles, institutions, processes, and individual rights policies and behaviors",blk_0167,"L365-368: Describe political principles, institutions, processes, and Individual Rights policies, and behaviors.",classification_unstable,mild,"The source names propositional content — factual and conceptual knowledge about political systems and rights. The verb 'describe' signals that learners must hold and be able to articulate knowledge of these domains. This is Type 1 hierarchical knowledge: foundational concepts (principles, institutions) must be understood before analyzing their processes and policy outcomes. Assessment via knowledge test or explanation rubric with clear criteria for adequate description."
blk_0176_item_01,know,Type 1,rubric_with_clear_criteria,Federalist views on central Constitution and a strong central government,blk_0176,L382: Federalist views on central Constitution and a strong central government.,stable,null,"Decision tree branch 1: This is propositional content describing a historical political position. It is factual knowledge about what Federalists believed regarding constitutional authority and centralized power. It has no hard prerequisite sequence within itself, but it is foundational factual content that learners must hold to understand early American political history. Assessment is via knowledge test or explanation rubric."
blk_0201_item_01,know,Type 1,rubric_with_clear_criteria,Key weaknesses of the Articles of Confederation: lack of centralized military power to address Shays' Rebellion; lack of an executive branch to enforce federal authority.,blk_0201,"L439-450: Explain the relationship Specific incidents and legal challenges that (Articles of between key provisions of highlighted key weaknesses of the Articles of Confederation) the Articles of Confederation, Confederation are represented by the: and the debate over granting i. Lack of centralized military power to the federal government address Shays’ Rebellion greater power formerly ii. Lack of an executive branch to enforce reserved to the states.",classification_unstable,mild,Decision tree branch 1: This is propositional historical knowledge with a fixed factual content (specific weaknesses of a historical document). It is prerequisite to understanding the subsequent debate and does not involve multiple interpretive frameworks. Type 1 know.
blk_0211_item_01,know,Type 1,rubric_with_clear_criteria,"Political principles, institutions, U.S. Constitution processes, and policies",blk_0211,"L469-474: Explain how political principles, institutions, U.S. Constitution processes, policies, and behaviors apply to different scenarios in context.",stable,mild,Decision tree branch 1: The source requires propositional knowledge of specific political concepts and constitutional content as a prerequisite foundation. These are factual and conceptual claims that must be understood before they can be applied to scenarios.
blk_0217_item_01,know,Type 1,rubric_with_clear_criteria,House of Representatives based on each state's population and the Senate representing each state equally,blk_0217,"L487-501: House of Representatives based on each state’s population and the Senate representing each state equally ii. Electoral College, which created a system for electing the president by electors from each state rather than by popular vote or by congressional vote iii. Three-Fifths Compromise, which provided a formula for calculating a state’s enslaved population for purposes of representation in the House and for taxation iv. Postponing until 1808 a decision whether to ban the importation of enslaved persons v. Agreement to add a Bill of Rights to address concerns of the Anti-Federalists",stable,null,Propositional factual content about the structure of Congress. This is a foundational concept with no prerequisite chain within this block but is part of the Constitutional framework. Assessed via knowledge test or explanation task.
blk_0217_item_02,know,Type 1,rubric_with_clear_criteria,"Electoral College, which created a system for electing the president by electors from each state rather than by popular vote or by congressional vote",blk_0217,"L487-501: House of Representatives based on each state’s population and the Senate representing each state equally ii. Electoral College, which created a system for electing the president by electors from each state rather than by popular vote or by congressional vote iii. Three-Fifths Compromise, which provided a formula for calculating a state’s enslaved population for purposes of representation in the House and for taxation iv. Postponing until 1808 a decision whether to ban the importation of enslaved persons v. Agreement to add a Bill of Rights to address concerns of the Anti-Federalists",stable,null,Propositional factual content describing the Electoral College mechanism and its distinction from alternative election methods. Assessed via knowledge test or explanation task.
