Competency,Competency Definition,LT Name,LT Definition,Grade 7,Knowledge Type,Flags
Historical Chronological Knowledge,The ability to organize historical events in proper sequence and understand their temporal relationships within broader historical contexts.,Timeline Sequencing,I can sequence historical events accurately on timelines showing their chronological order.,I can sequence historical events accurately on timelines showing their chronological order.,T1,SOURCE_FAITHFULNESS_FAIL
Historical Chronological Knowledge,The capacity to identify and explain how past events created conditions that directly influence contemporary circumstances and developments.,Historical Causation,I can trace how specific historical events created the conditions that shaped current situations.,I can trace how specific historical events created the conditions that shaped current situations.,T1,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry and Analysis,The ability to analyze and interpret diverse Indigenous worldviews and cultural frameworks to understand their unique contributions to historical understanding.,Indigenous Worldview Interpretation,"I can interpret First Nations, Métis, and Inuit worldviews to explain their distinct cultural contributions.","I can interpret First Nations, Métis, and Inuit worldviews to explain their distinct cultural contributions.",T2,POSSIBLE_COMPOUND
Historical Inquiry and Analysis,The capacity to examine historical events through multiple analytical lenses to construct diverse interpretations of their historical importance and meaning.,Multiple Perspective Analysis,I can interpret historical events through different analytical frameworks to construct varying assessments of their significance.,I can interpret historical events through different analytical frameworks to construct varying assessments of their significance.,T2,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry and Analysis,The skill to analyze geographic phenomena by understanding complex interconnections between human societies and their physical environments throughout history.,Geographic Systems Thinking,I can interpret geographic phenomena through systems thinking by examining interconnections between human activities and physical environments.,I can interpret geographic phenomena through systems thinking by examining interconnections between human activities and physical environments.,T2,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry and Analysis,The ability to critically assess historical sources and construct well-supported interpretations about events and developments in the past.,Historical Evidence Evaluation,I can evaluate historical evidence and develop reasoned interpretations about past events.,I can evaluate historical evidence and develop reasoned interpretations about past events.,T2,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry and Analysis,The capacity to conduct systematic geographic investigation using direct observation and data collection to analyze spatial relationships in historical contexts.,Geographic Fieldwork Inquiry,I can conduct geographic inquiry using fieldwork methods to analyze spatial patterns and relationships in real-world contexts.,I can conduct geographic inquiry using fieldwork methods to analyze spatial patterns and relationships in real-world contexts.,T2,SOURCE_FAITHFULNESS_FAIL
Historical Inquiry and Analysis,The skill to formulate focused research questions and synthesize multiple sources of evidence to develop well-reasoned conclusions about historical topics.,Research Question Development,I can develop investigation questions that guide synthesis of evidence across sources to construct reasoned research conclusions.,I can develop investigation questions that guide synthesis of evidence across sources to construct reasoned research conclusions.,T2,SOURCE_FAITHFULNESS_FAIL
Civic Engagement and Understanding,The ability to examine and compare different systems of government to understand how democratic institutions operate and evolve throughout history.,Democratic Governance Analysis,I can analyze civic structures through different governance frameworks to explain democratic processes.,I can analyze civic structures through different governance frameworks to explain democratic processes.,T2,SOURCE_FAITHFULNESS_FAIL
Civic Engagement and Understanding,The capacity to assess the role of citizen participation in maintaining democratic societies across different historical periods and contexts.,Civic Responsibility Evaluation,I can evaluate civic engagement as shared responsibility necessary for democratic systems.,I can evaluate civic engagement as shared responsibility necessary for democratic systems.,T2,SOURCE_FAITHFULNESS_FAIL
Civic Engagement and Understanding,The skill to critically examine various methods of political participation and their effectiveness in different historical and governmental settings.,Participation Strategy Assessment,I can evaluate civic engagement strategies by analyzing democratic participation across governance contexts.,I can evaluate civic engagement strategies by analyzing democratic participation across governance contexts.,T2,SOURCE_FAITHFULNESS_FAIL
Global Citizenship Mindset,The capacity to understand one's own historical perspective and learning approaches when studying diverse cultures and civilizations.,Personal Learning Identity,I can articulate personal learning preferences and identity patterns that support effective choice-making.,I can articulate personal learning preferences and identity patterns that support effective choice-making.,T3,SOURCE_FAITHFULNESS_FAIL
Global Citizenship Mindset,The disposition to recognize personal intellectual development through engagement with historical content and perspectives.,Growth Mindset Reflection,I can articulate how my abilities and mindset have changed through specific learning experiences.,I can articulate how my abilities and mindset have changed through specific learning experiences.,T3,SOURCE_FAITHFULNESS_FAIL
Global Citizenship Mindset,The habit of demonstrating respect and understanding for diverse historical viewpoints and cultural experiences in academic settings.,Historical Empathy Practice,I can show empathy toward different perspectives during classroom discussions and collaborative work.,I can show empathy toward different perspectives during classroom discussions and collaborative work.,T3,SOURCE_FAITHFULNESS_FAIL
Geographical Foundational Concepts,The ability to analyze how physical environments shape human settlement decisions and influence cultural and economic activities throughout history.,Geographic Settlement Patterns,I can explain how physical geographic features influence human settlement patterns and activities.,I can explain how physical geographic features influence human settlement patterns and activities.,T1,SOURCE_FAITHFULNESS_FAIL
Geographical Foundational Concepts,The capacity to decode and utilize cartographic elements to gather spatial information essential for understanding historical contexts and movements.,Map Reading Skills,"I can interpret compass directions, scale, and symbols to extract geographic information from existing maps.","I can interpret compass directions, scale, and symbols to extract geographic information from existing maps.",T1,SOURCE_FAITHFULNESS_FAIL
Critical Thinking Disposition,"The habitual practice of questioning historical claims, seeking evidence, and maintaining intellectual curiosity when studying the past.",Critical Thinking Disposition,I can habitually question claims and seek evidence as natural thinking patterns.,I can habitually question claims and seek evidence as natural thinking patterns.,T3,COMPOUND_TYPE|SOURCE_FAITHFULNESS_FAIL
Collaborative Inquiry Capacity,The capacity to maintain constructive partnerships and build upon collective thinking during historical investigations and discussions.,Collaborative Historical Inquiry,I can sustain productive collaboration by building on others' ideas during historical investigations.,I can build on others' historical ideas and manage group dynamics constructively during inquiry.,T3,SOURCE_FAITHFULNESS_FAIL
