item_id,kud_column,knowledge_type,assessment_route,content,source_block_id,source_excerpt,classification_stability,underspecification_flag,rationale
blk_0004_item_01,know,Type 1,rubric_with_clear_criteria,Unit rates associated with ratios of fractions,blk_0004,"L7: Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units.",stable,null,"Propositional knowledge with a fixed conceptual prerequisite sequence: understanding ratios precedes understanding ratios of fractions, which precedes computing unit rates from such ratios. This is hierarchical knowledge assessed via knowledge test or rubric."
blk_0005_item_01,know,Type 1,rubric_with_clear_criteria,"A unit rate is computed by dividing a quantity by a time interval, expressed as a complex fraction and simplified to a single-unit denominator.",blk_0005,"L8-13: For example, if a person walks 1/2 mile in each 1/4 hour, compute the unit rate as the complex fraction 1/2 / 1/4 miles per hour, equivalently 2 miles per hour .",stable,null,"This is propositional knowledge about what a unit rate is and how it is calculated. It describes a factual concept with a fixed procedural sequence: form the complex fraction, then simplify. This is hierarchical knowledge — understanding the definition and structure of unit rates is prerequisite to applying the procedure."
blk_0011_item_01,know,Type 1,rubric_with_clear_criteria,The constant of proportionality (unit rate) is the constant ratio between two proportional quantities.,blk_0011,"L19: Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships.",stable,null,Propositional knowledge: learner must understand what the constant of proportionality is as a concept before identifying it. This is foundational factual/conceptual content with a clear definition.
blk_0014_item_01,know,Type 1,rubric_with_clear_criteria,"The relationship between total cost, number of items, and constant price can be expressed as t = pn, where t is total cost, p is the constant price per item, and n is the number of items purchased.",blk_0014,"L22-23: For example, if total cost t is proportional to the number n of items purchased at a constant price p, the relationship between the total cost and the number of items can be expressed as t = pn .",stable,null,This is propositional knowledge about a mathematical relationship and formula. It is a factual claim about how to express proportional relationships algebraically. It has no prerequisite chain within this block but is foundational for applying proportional reasoning to cost scenarios. Decision tree branch 1: hard prerequisite sequence exists (understanding the symbolic representation is necessary before using it in calculations).
---,,,,,,,,,
blk_0002_item_01,understand,Type 1,rubric_with_clear_criteria,Proportional relationships and their properties.,blk_0002,L5: Analyze proportional relationships and use them to solve real-world and mathematical problems.,classification_unstable,mild,The block requires learners to hold conceptual knowledge of what proportional relationships are and how they work before they can analyze or apply them. This is foundational propositional content with a prerequisite role in the hierarchy.
blk_0007_item_01,understand,Type 1,rubric_with_clear_criteria,Proportional relationships between quantities and how they are structured.,blk_0007,L15: Recognize and represent proportional relationships between quantities.,classification_unstable,mild,"Decision tree branch 1: This is propositional/conceptual knowledge with a fixed foundation. Understanding what proportional relationships are (the concept, the defining properties, the mathematical structure) is a prerequisite to recognizing or representing them. This is hierarchical knowledge that must be in place before the skill can be deployed."
blk_0009_item_01,understand,Type 1,rubric_with_clear_criteria,Proportional relationships: two quantities are in a proportional relationship when their ratios are equivalent.,blk_0009,"L17: Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin.",classification_unstable,null,Propositional/conceptual content with a fixed definition. This is foundational knowledge that must be understood before the decision procedure can be applied. Decision tree branch 1: hard prerequisite sequence.
blk_0016_item_01,understand,Type 1,rubric_with_clear_criteria,"What a point (x, y) on the graph of a proportional relationship means in terms of the situation",blk_0016,"L25-31: Explain what a point ( x , y ) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r ) where r is the unit rate.",stable,null,"This is propositional/conceptual knowledge about the meaning of coordinate pairs in a proportional relationship. It is a fixed, transferable concept that must be understood before applying it to specific points. Decision tree branch 1: hard prerequisite sequence exists (understanding the general meaning precedes interpreting specific points)."
blk_0016_item_02,understand,Type 1,rubric_with_clear_criteria,"The meaning of the point (0, 0) on the graph of a proportional relationship in terms of the situation",blk_0016,"L25-31: Explain what a point ( x , y ) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r ) where r is the unit rate.",stable,null,This is propositional knowledge about a specific point's meaning. It is a fixed concept that builds on understanding proportional relationships. Decision tree branch 1: prerequisite knowledge about proportional relationships must be in place.
