competency_cluster,lt_id,lt_name,knowledge_type,stability,gate_passed,gate_failures,competent_framing_flag,competent_framing_judge_rationale,propositional_thin_flag,no_evidence,emerging,developing,competent,extending,prerequisite_edges,diagnostic
cluster_01: Family Structures and Legal Relationships,cluster_01_lt_01,Legal Status of Relationship Types,Type 1,stable,PASS,,pass,The descriptor declares the capability as demonstrated independently at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to identify legal relationship protections.,"With support, names some relationship types but confuses their legal protections.",Independently identifies relationship types but provides incomplete or inaccurate legal rights information.,"Independently identifies the distinct legal rights and protections that apply to marriage, civil partnership, and cohabitation.",Compares legal protections across relationship types and explains implications for different life situations.,cluster_03_lt_01 [pedagogical_sequencing/medium] Understanding general legal rights regarding equality provides foundation for specific relationship legal protections.,
cluster_01: Family Structures and Legal Relationships,cluster_01_lt_02,Family Dynamics and Development,Type 1,stable,PASS,,pass,"The descriptor declares the capability as demonstrated independently, stating the learner 'explains' and 'identifies' the required content without hedging language or positioning it as incomplete.",False,No attempt to explain family changes or development factors.,"With support, identifies some family types but explanations are incomplete or inaccurate.",Explains basic family changes and identifies some development factors but lacks detail or connections.,Explains how family structures evolve over time and identifies multiple factors that support successful child development.,Analyses complex family transitions and evaluates how development factors interact across different contexts.,cluster_01_lt_01 [pedagogical_sequencing/medium] Understanding legal relationship types provides foundation for explaining how family structures change.,
cluster_02: Healthy Romantic Relationships,cluster_02_lt_01,Understanding Healthy Relationship Foundations,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently and stands alone as evidence that the learning target is met.,False,No attempt to explain healthy relationship characteristics.,"With support, identifies some relationship characteristics but explanations are incomplete or inaccurate.",Independently identifies key characteristics like consent and trust but explanations lack depth or miss connections.,"Independently explains consent, trust, respect, and ethical considerations as foundational characteristics that define healthy romantic relationships.",Connects healthy relationship foundations to broader relationship contexts and explains their interdependent nature.,cluster_03_lt_01 [pedagogical_sequencing/medium] Understanding equality and respectful treatment provides foundation for explaining respect in relationships.; cluster_11_lt_03 [pedagogical_sequencing/medium] Understanding care beyond consent supports explaining ethical considerations in healthy relationships.,
cluster_02: Healthy Romantic Relationships,cluster_02_lt_02,Evaluating Relationship Safety,Type 2,rubric_unstable,FAIL,observable_verb,pass,"The descriptor clearly states the learner independently demonstrates the capability with accuracy, indicating full achievement of the learning target.",False,No attempt to judge relationship safety.,"With support, identifies some obvious safety concerns but misses key warning signs.",Independently recognises clear safety issues but struggles with subtle warning signs or appropriate help sources.,Independently judges when romantic relationship situations are unsafe and identifies appropriate sources of help accurately.,Transfers safety evaluation skills to complex scenarios and guides others toward appropriate support.,cluster_02_lt_01 [ontological_prerequisite/high] Cannot evaluate relationship safety without understanding what healthy relationships look like.; cluster_12_lt_01 [ontological_prerequisite/high] Judging relationship safety requires general trustworthiness and safety assessment skills.; cluster_12_lt_02 [ontological_prerequisite/high] Cannot identify appropriate help sources without knowing how to seek help generally.,
cluster_03: Respectful Treatment of Self and Others,cluster_03_lt_01,Understanding Equality and Respectful Treatment,Type 1,rubric_unstable,FAIL,observable_verb,pass,"The descriptor clearly states the learner 'independently explains' and 'describes' the required concepts, demonstrating complete achievement of the learning target without hedging language or positioning it as incomplete.",False,No attempt to explain equality rights or respectful treatment.,"With support, identifies some equality concepts but explanations are incomplete or inaccurate.",Independently explains basic equality rights but struggles to connect respectful treatment to relationships.,Independently explains legal rights regarding equality and describes what respectful treatment means in relationships.,Connects equality rights and respectful treatment to complex relationship scenarios and broader social contexts.,cluster_02_lt_01 [pedagogical_sequencing/medium] Understanding healthy relationship foundations helps contextualize respectful treatment concepts.,
cluster_03: Respectful Treatment of Self and Others,cluster_03_lt_02,Communicating Respectfully in Relationships,Type 2,rubric_unstable,FAIL,observable_verb,pass,"The descriptor declares the capability as demonstrated independently and effectively, standing alone as clear evidence that the learning target is met.",False,No attempt to communicate respectfully in relationships.,"With support, demonstrates basic respectful communication but inconsistently or inaccurately.",Independently demonstrates respectful communication in familiar situations but struggles with conflict or challenging contexts.,Independently applies respectful communication skills effectively in relationships and conflict situations across various contexts.,Transfers respectful communication skills to complex interpersonal situations and models effective conflict resolution.,cluster_03_lt_01 [ontological_prerequisite/high] Understanding what respectful treatment means is necessary before applying respectful communication skills.; cluster_18_lt_01 [pedagogical_sequencing/medium] Effective emotional communication typically supports respectful relationship communication skills.,
cluster_04: Addressing Bullying and Relationship Endings,cluster_04_lt_02,Managing Relationship Endings with Kindness,Type 2,rubric_unstable,FAIL,observable_verb,pass,The descriptor declares the capability as fully demonstrated with 'independently applies appropriate strategies' and shows complete mastery of the learning target without hedging language or positioning it as incomplete.,False,No attempt to address relationship ending strategies.,"With support, identifies some ending strategies but applies them inaccurately or inappropriately.",Independently applies basic ending strategies but struggles with managing difficult emotions constructively.,Independently applies appropriate strategies to end relationships kindly while managing difficult feelings constructively and respectfully.,Transfers ending strategies across relationship types and supports others through relationship transitions.,cluster_02_lt_01 [ontological_prerequisite/high] Understanding healthy relationship foundations is necessary to recognize when relationships should end.; cluster_03_lt_02 [ontological_prerequisite/high] Respectful communication skills are essential for ending relationships kindly.; cluster_18_lt_01 [ontological_prerequisite/high] Communicating about emotions effectively is required to manage difficult feelings constructively.; cluster_11_lt_01 [pedagogical_sequencing/medium] Understanding consent and boundaries helps inform appropriate relationship ending approaches.,
cluster_05: Recognising Stereotypes and Power Dynamics,cluster_05_lt_01,Understanding Stereotypes and Power Imbalances,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated independently with clear reasoning, standing alone as evidence the learning target is met.",False,No attempt to address stereotypes or power dynamics.,"With support, identifies some stereotypes but explanations are incomplete or inaccurate.",Independently identifies stereotypes and power imbalances but explanations lack depth or miss key connections.,Independently explains how stereotypes and power inequalities damage relationships and influence harmful behaviours with clear reasoning.,Applies understanding to analyse complex scenarios or connects stereotypes to broader systemic issues.,cluster_03_lt_01 [pedagogical_sequencing/medium] Understanding equality concepts provides foundation for recognising power imbalances.; cluster_02_lt_01 [pedagogical_sequencing/medium] Understanding healthy relationship characteristics helps identify when stereotypes damage relationships.,
cluster_05: Recognising Stereotypes and Power Dynamics,cluster_05_lt_02,Recognising Prejudice and Harmful Influences,Type 2,rubric_unstable,PASS,,pass,The descriptor clearly states the learner independently demonstrates the full capability described in the learning target without hedging language or positioning it as incomplete.,False,No attempt to identify prejudice or cultural influences.,"With support, identifies obvious prejudice but struggles to connect cultural influences.",Independently identifies clear prejudice and describes some cultural influences but analysis lacks depth.,Independently identifies prejudice in various contexts and analyses how cultural influences shape harmful sexual attitudes.,Transfers prejudice recognition skills to subtle contexts and evaluates complex cultural influence mechanisms.,cluster_05_lt_01 [ontological_prerequisite/high] Understanding stereotypes and power imbalances is necessary before identifying prejudice and analysing cultural influences.,
cluster_06: Online Safety and Digital Citizenship,cluster_06_lt_01,Protecting Personal Information Online,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently identifies' and 'explains clearly' without any hedging language or positioning as incomplete.,False,No attempt to identify privacy settings or sharing considerations.,"With support, identifies some privacy settings but explanations are incomplete or inaccurate.",Independently identifies basic privacy settings but explanations lack detail or miss key sharing risks.,Independently identifies appropriate privacy settings and explains clearly when personal information should not be shared online.,Applies privacy principles to novel platforms and evaluates complex sharing scenarios with sophisticated reasoning.,cluster_10_lt_01 [ontological_prerequisite/high] Understanding how personal data is collected and shared is essential for making privacy decisions.,
cluster_06: Online Safety and Digital Citizenship,cluster_06_lt_02,Evaluating Online Content and Profiles,Type 1,rubric_unstable,FAIL,observable_verb,pass,The descriptor clearly states the learner independently demonstrates the capability at the target level without hedging language or positioning it as incomplete.,False,No attempt to identify fake or manipulated content.,"With support, notices some obvious signs but makes frequent errors in identification.",Independently identifies clear signs of fake content but misses subtle manipulation indicators.,"Independently identifies multiple signs that social media accounts or content may be fake, exaggerated, or AI-generated.",Systematically evaluates content authenticity using sophisticated detection methods and explains manipulation techniques.,cluster_06_lt_01 [pedagogical_sequencing/medium] Understanding privacy basics helps establish foundation for recognizing deceptive online practices.; cluster_08_lt_01 [ontological_prerequisite/high] Recognizing deepfakes is a specific component of identifying AI-generated content.,
cluster_06: Online Safety and Digital Citizenship,cluster_06_lt_03,Applying Behavioural Expectations Online,Type 1,rubric_unstable,PASS,,pass,The descriptor clearly states the learner can independently demonstrate the exact capability described in the learning target without any hedging language or positioning as incomplete.,False,No attempt to explain behavioural standards across contexts.,"With support, identifies some behavioural expectations but confuses online and offline applications.",Independently identifies behavioural standards but struggles to explain consistent application across contexts.,Independently explains how appropriate behaviour standards apply consistently across online and offline contexts.,Transfers understanding to novel situations and explains nuanced applications of consistent behavioural standards.,cluster_03_lt_01 [pedagogical_sequencing/medium] Understanding respectful treatment provides foundation for appropriate behaviour standards.; cluster_06_lt_01 [pedagogical_sequencing/medium] Understanding online privacy helps establish baseline for appropriate online behaviour.,
cluster_07: Managing Digital Content and Image Sharing,cluster_07_lt_01,Understanding Digital Content Risks and Laws,Type 1,stable,PASS,,pass,"The descriptor clearly states the learner 'independently explains' the required content, demonstrating complete achievement of the learning target without hedging language or positioning it as incomplete.",False,No attempt to explain digital content risks or laws.,"With support, identifies some risks but explanations are incomplete or inaccurate.",Independently explains basic risks but lacks detail on legal consequences or criminal penalties.,Independently explains the risks and legal consequences of sharing images online including criminal penalties for indecent images.,Transfers understanding to analyse complex scenarios involving multiple legal and risk factors.,cluster_06_lt_01 [pedagogical_sequencing/medium] Understanding privacy settings provides foundation for understanding broader digital content risks.; cluster_06_lt_03 [pedagogical_sequencing/medium] Understanding appropriate online behaviour standards supports understanding legal consequences of inappropriate sharing.,
cluster_08: Identifying Digital Manipulation and Harmful Content,cluster_08_lt_01,Recognising Deepfakes and Digital Manipulation,Type 2,stable,FAIL,single_construct,pass,"The descriptor declares the capability as demonstrated independently and accurately, meeting the learning target without hedging language or positioning it as incomplete.",False,No attempt to identify deepfakes or digital manipulation.,"With support, recognises some obvious digital alterations but explanations are incomplete.",Independently identifies clear deepfakes but struggles with subtle manipulation or explaining uses.,"Independently identifies deepfakes and digital manipulation, explaining both malicious and entertainment applications accurately.",Identifies sophisticated manipulation techniques and analyses broader implications for society and media.,cluster_06_lt_02 [ontological_prerequisite/high] Must understand fake content identification before recognising deepfakes specifically.; cluster_08_lt_02 [pedagogical_sequencing/medium] Understanding harmful content types provides context for malicious deepfake applications.,
cluster_08: Identifying Digital Manipulation and Harmful Content,cluster_08_lt_02,Understanding Harmful Online Content,Type 1,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently describes' and 'clearly explains' without any hedging language or positioning as incomplete.,False,No attempt to identify inappropriate content or explain harmful normalisation.,"With support, names some inappropriate content types but explanations are inaccurate or incomplete.",Independently identifies several inappropriate content types but explanations of harmful normalisation lack depth or clarity.,Independently describes multiple types of inappropriate online content and clearly explains how distorted digital content normalises harmful behaviours.,Transfers understanding to analyse complex content scenarios and evaluates broader societal impacts of digital normalisation.,cluster_06_lt_02 [pedagogical_sequencing/medium] Understanding fake content helps recognise distorted digital material.; cluster_08_lt_01 [ontological_prerequisite/high] Recognising digital manipulation is essential for understanding distorted content.; cluster_09_lt_02 [pedagogical_sequencing/medium] Understanding distorted online content provides foundation for recognising harmful normalisation patterns.,
cluster_08: Identifying Digital Manipulation and Harmful Content,cluster_08_lt_03,Seeking Support for Concerning Content,Type 1,rubric_unstable,PASS,,pass,"The descriptor clearly states the learner can independently identify appropriate support sources, demonstrating complete achievement of the learning target without hedging language or positioning it as incomplete.",False,No attempt to identify support sources.,"With prompting, names some general help sources but lacks specificity or accuracy.",Identifies basic support sources but misses key options or provides incomplete guidance.,"Independently identifies appropriate advice and support sources for concerning online content including trusted adults, reporting mechanisms, and helplines.",Evaluates multiple support pathways and explains when different sources are most appropriate.,cluster_08_lt_02 [ontological_prerequisite/high] Must understand what constitutes concerning content before seeking appropriate support.; cluster_12_lt_02 [pedagogical_sequencing/medium] General help-seeking skills typically established before domain-specific applications.,
