competency_cluster,lt_id,lt_name,knowledge_type,stability,gate_passed,gate_failures,competent_framing_flag,competent_framing_judge_rationale,propositional_thin_flag,no_evidence,emerging,developing,competent,extending,prerequisite_edges,diagnostic
cluster_01: Physical Health and Well-being,cluster_01_lt_01,Understanding Health and Well-being Factors,Type 1,stable,PASS,,pass,"The descriptor directly mirrors the LT definition without hedging language, frames the capability as demonstrated, and can stand alone as evidence that the learning target is met.",False,No attempt to explain health and well-being factors.,"With support, names some factors but explanations are incomplete or inaccurate.","Independently identifies physical activity, nutrition, and sleep but explanations lack depth or connection.","Explains how physical activity, nutrition, sleep, and other factors support physical health and well-being outcomes.",Explains interconnections between multiple factors and applies reasoning to novel health scenarios.,cluster_02_lt_02 [pedagogical_sequencing/medium] Understanding self-care behaviours provides foundation for recognising how specific actions support health outcomes.,
cluster_01: Physical Health and Well-being,cluster_01_lt_02,Demonstrating Physical Movement Competence,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares independent performance of skills with appropriate control, coordination, and technique, standing alone as evidence the LT is met without hedging language or framing Competent as incomplete.",True,No attempt to perform movement or exercise skills.,"With support, attempts movement skills but demonstrates inconsistent control or incomplete technique.",Independently performs basic movement and exercise skills with generally correct technique but inconsistency in execution.,"Independently performs movement, exercise, and activity skills with control, coordination, and technique appropriate to age and context.",Performs movement skills with precision and adapts technique fluently across varied contexts and increasing complexity.,,
cluster_02: Self-Care and Respect for Self and Others,cluster_02_lt_02,Understanding Self-Care Impact,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares independent capability to explain the core relationship between self-care behaviours and well-being/self-worth, matching the LT's demand without hedging or positioning as incomplete.",False,No attempt to explain self-care impact on well-being.,"With support, names some self-care behaviours but explanations lack clarity or accuracy.",Independently explains how some self-care behaviours support well-being but reasoning is incomplete.,"Independently explains how positive, informed self-care behaviours support well-being and sense of self-worth.",Explains self-care impact and connects it to broader influences on identity and relationships.,"cluster_01_lt_01 [ontological_prerequisite/high] Understanding specific health factors is foundational to explaining how self-care behaviours support well-being.; cluster_03_lt_01 [ontological_prerequisite/high] Understanding emotional responses and mental health is essential to explaining self-care's impact on well-being and self-worth.; cluster_04_lt_01 [pedagogical_sequencing/medium] Communicating feelings supports reflection on self-care's emotional impact, though explanation can occur without this skill.; cluster_07_lt_01 [pedagogical_sequencing/medium] Identifying social influences on identity enriches understanding of how self-care relates to sense of self, but is not strictly required.",
cluster_03: Mental Health and Emotional Well-being,cluster_03_lt_01,Connecting Experiences to Emotional Well-being,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as independently demonstrated at the LT's level of demand, with no hedging language or framing of incompleteness.",False,No attempt to connect experiences to emotional responses.,"With support, identifies one experience and names a feeling, but connection is unclear.",Independently describes an experience and its emotional response but lacks depth in explaining well-being impact.,Independently explains how specific experiences and emotional responses influence mental health and well-being.,Explains how experiences and emotional responses influence well-being and relates this to broader life patterns.,cluster_04_lt_01 [ontological_prerequisite/high] Learner must be able to identify and name feelings before explaining how those feelings influence well-being.; cluster_02_lt_02 [pedagogical_sequencing/medium] Understanding physical experiences and their effects supports recognition of how embodied experiences connect to emotional well-being.; cluster_08_lt_01 [pedagogical_sequencing/medium] Understanding healthy relationships as fundamental to well-being provides context for recognizing how relational experiences influence emotional responses.,
cluster_04: Communication About Mental Health,cluster_04_lt_01,Communicating Feelings Appropriately,Type 1,rubric_unstable,FAIL,single_construct,pass,"The descriptor declares independent capability to communicate feelings appropriately, uses no hedging language, and stands alone as evidence the learning target is met.",False,No attempt to communicate feelings.,"With support, names a feeling but communicates it in ways unsuitable to context or audience.",Independently communicates feelings appropriately in familiar contexts but inconsistently adjusts to unfamiliar audiences or situations.,Independently communicates feelings in ways that are clearly appropriate to the context and audience.,Selects and adapts communication of feelings strategically across diverse contexts and audiences to strengthen relationships.,cluster_03_lt_01 [ontological_prerequisite/high] Learner must first understand how experiences and emotional responses influence mental health before communicating feelings appropriately.; cluster_08_lt_01 [pedagogical_sequencing/medium] Understanding healthy relationships and belonging provides context for why appropriate feeling communication matters in relationships.,
cluster_05: Informed Decision-Making,cluster_05_lt_01,Analysing Decision Impacts and Influencing Factors,Type 2,rubric_unstable,PASS,,pass,"The descriptor declares the capability as independently demonstrated at the LT's level of demand, with no hedging language or framing of incompleteness.",False,No attempt to analyse decision impacts or influencing factors.,"With support, identifies some impacts or factors but reasoning is incomplete or inaccurate.",Independently identifies impacts on self and others and some influencing factors but misses broader societal scope.,"Independently analyses how decisions impact self, others, and society, and identifies key factors influencing decision-making.",Analyses decision impacts and factors across multiple contexts and recognises interconnections between influences.,"cluster_03_lt_01 [ontological_prerequisite/high] Understanding how experiences and emotions influence well-being is foundational to analysing how decisions impact self and others.; cluster_07_lt_01 [ontological_prerequisite/high] Identifying social influences on identity and behaviour is essential to recognising factors that influence decision-making.; cluster_02_lt_02 [pedagogical_sequencing/medium] Demonstrating physical competence provides concrete experience of personal decision-making and its outcomes, supporting analysis of impacts.",
cluster_05: Informed Decision-Making,cluster_05_lt_02,Evaluating Implications and Risks in Decisions,Type 2,stable,PASS,,pass,The descriptor declares the capability as independently demonstrated at the LT's level of demand (evaluating implications and risks before deciding) without hedging language or framing it as incomplete.,False,No attempt to identify or evaluate decision implications or risks.,"With support, identifies some possible consequences but reasoning is incomplete or inaccurate.",Independently identifies implications and risks for self or others but misses broader or longer-term consequences.,Independently evaluates multiple implications and risks of decisions for self and others before deciding.,Evaluates implications and risks across interconnected contexts and anticipates second-order consequences.,cluster_05_lt_01 [ontological_prerequisite/high] Analysing decision impacts and influencing factors is foundational; evaluation of implications and risks builds directly on that analytical capability.; cluster_03_lt_01 [pedagogical_sequencing/medium] Understanding how experiences and emotions influence well-being supports recognition of emotional and personal implications in decision-making.,
cluster_06: Career Pathway Decision-Making,cluster_06_lt_01,Identifying Consequences of Career Choices,Type 1,stable,PASS,,pass,"The descriptor directly mirrors the LT definition without hedging language, frames the capability as demonstrated, and stands alone as evidence the target is met.",True,No attempt to identify consequences of career choices.,"With support, names one or two consequences but descriptions lack detail or accuracy.",Independently identifies consequences across one or two domains but misses depth or breadth.,"Identifies and describes significant lifelong consequences of career choices across personal, financial, and social domains.",Identifies consequences and explains how they interconnect across domains or evolve over time.,cluster_05_lt_01 [ontological_prerequisite/high] Identifying consequences requires understanding how decisions and actions impact self and others.; cluster_07_lt_01 [pedagogical_sequencing/medium] Understanding social influences on identity supports recognition of social consequences of career choices.; cluster_03_lt_01 [pedagogical_sequencing/medium] Understanding emotional well-being supports recognition of personal consequences of career pathways.,
cluster_07: Understanding Social Influences,cluster_07_lt_01,Identifying Social Influences on Identity,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated independently ('Identifies how...with clear reasoning') without hedging language, incompleteness markers, or positioning it as a way-station to Extending.",False,No attempt to identify social influences on identity.,"With support, names one or two social influences but descriptions lack clarity or accuracy.",Independently identifies several social influences on identity but explanations remain surface-level or incomplete.,"Identifies how family, peers, culture, and media shape identity, values, behaviours, and well-being with clear reasoning.",Analyses how multiple social influences interact and conflict to shape identity across different contexts and life stages.,cluster_03_lt_01 [ontological_prerequisite/high] Understanding how experiences and emotional responses influence well-being is foundational to recognising how social influences shape identity and well-being.; cluster_02_lt_02 [pedagogical_sequencing/medium] Understanding self-care and respect for self supports recognition of how social influences affect behaviours and sense of self-worth.; cluster_08_lt_01 [pedagogical_sequencing/medium] Understanding healthy relationships and belonging provides context for identifying how social connections influence identity formation.,
cluster_07: Understanding Social Influences,cluster_07_lt_02,Analysing Cultural Development of Norms,Type 2,stable,PASS,,pass,"The descriptor declares the capability as demonstrated ('Analyses how norms and values develop within and across different cultural contexts with reasoned explanation') and directly mirrors the LT's demand without hedging, incompleteness framing, or positioning it as a way-station to Extending.",False,No attempt to analyse cultural norms or values.,"With support, identifies some norms or values but analysis lacks depth or cultural context.",Independently describes how norms develop in one culture but struggles to compare across contexts.,Analyses how norms and values develop within and across different cultural contexts with reasoned explanation.,Analyses norms and values development across cultures and relates patterns to broader social systems.,cluster_07_lt_01 [ontological_prerequisite/high] Identifying social influences on identity is foundational to analysing how norms develop culturally.; cluster_05_lt_01 [pedagogical_sequencing/medium] Analysing decision impacts and influencing factors supports understanding how cultural norms shape behaviour.,
