Competency,Competency Definition,LT Name,LT Definition,Year 6,Year 7,Year 8,Knowledge Type,Flags
Number Operations And Properties,"The ability to apply counting principles, combinatorial reasoning, and systematic selection methods to determine possible arrangements and choices.",Combinations and Permutations,I can calculate combinations and permutations using standard counting principles.,I can count simple arrangements and selections using organized lists.,I can apply basic counting principles to find permutations and combinations.,I can calculate combinations and permutations using standard counting principles.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to perform arithmetic operations with fractional numbers using proper procedures and computational fluency.,Fraction Operations,I can perform calculations with fractions using all four operations.,I can add and subtract fractions with like denominators.,I can multiply and divide fractions using standard procedures.,I can perform calculations with fractions using all four operations.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to categorize decimal representations by their patterns and understand the mathematical characteristics of different decimal types.,Decimal Classification,I can classify decimal fractions and describe their mathematical properties.,I can identify finite and infinite decimal patterns.,I can distinguish between repeating and non-repeating decimal patterns.,I can classify decimal fractions and describe their mathematical properties.,T1,SOURCE_FAITHFULNESS_FAIL|COMPETENCY_MAPPING_UNCERTAIN
Number Operations And Properties,The ability to apply systematic rounding procedures to approximate numbers according to specified precision requirements.,Rounding Rules,I can apply rounding rules to specified decimal places.,I can round whole numbers to nearest ten or hundred.,I can round decimal numbers to one decimal place.,I can apply rounding rules to specified decimal places.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to manipulate exponential expressions by applying the fundamental laws and properties of positive integer powers.,Power Properties,I can apply properties of powers with positive integer exponents.,I can calculate simple powers using repeated multiplication.,I can apply basic power rules for multiplication and division.,I can apply properties of powers with positive integer exponents.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to recognize and distinguish the defining characteristics and structural properties of different number systems.,Number Systems,"I can identify properties of natural, integer, rational, and real numbers.",I can identify natural numbers and their basic properties.,I can distinguish between integers and rational numbers.,"I can identify properties of natural, integer, rational, and real numbers.",T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to decompose composite numbers into their prime components using algorithmic factorization techniques.,Prime Factorization,I can find prime factorizations using systematic decomposition methods.,I can identify factors of small composite numbers.,I can find prime factors using division methods.,I can find prime factorizations using systematic decomposition methods.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to analyze mathematical relationships between sets by identifying their input and output components.,Domain and Range,I can identify the domain and range of mappings between sets.,I can identify inputs and outputs in simple number patterns.,I can find domain and range from simple mappings.,I can identify the domain and range of mappings between sets.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to compute statistical measures that describe the central tendency and distribution characteristics of numerical data.,Central Tendency,"I can calculate mean, mode, and median from numerical datasets.",I can find the mode from simple data sets.,I can calculate mean and median from small datasets.,"I can calculate mean, mode, and median from numerical datasets.",T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to compute proportional frequencies and understand their mathematical connection to theoretical probability concepts.,Relative Frequency,I can calculate relative frequencies and explain their probability connection.,I can count frequencies in simple data collections.,I can calculate basic relative frequencies from data.,I can calculate relative frequencies and explain their probability connection.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to understand and apply the geometric principles governing reflection transformations and symmetry relationships.,Axial Reflection,I can identify properties of axial reflection including symmetry lines.,I can identify simple lines of symmetry in shapes.,I can reflect shapes across horizontal and vertical lines.,I can identify properties of axial reflection including symmetry lines.,T1,SOURCE_FAITHFULNESS_FAIL|COMPETENCY_MAPPING_UNCERTAIN
Number Operations And Properties,"The ability to recognize, categorize, and classify multi-sided geometric figures according to their structural attributes.",Polygon Identification,I can identify and classify polygons by their defining characteristics.,I can name basic polygons by counting their sides.,I can identify polygon properties and classify by characteristics.,I can identify and classify polygons by their defining characteristics.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to apply mathematical formulas relating polygon angles and diagonals to solve geometric problems systematically.,Polygon Formulas,I can apply angle sum and diagonal formulas to polygon problems.,I can find angle sums in triangles and quadrilaterals.,I can count diagonals and apply angle formulas to pentagons.,I can apply angle sum and diagonal formulas to polygon problems.,T1,POSSIBLE_COMPOUND|SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to recognize and understand the fundamental mathematical connections between triangle sides and angles.,Triangle Relationships,I can identify fundamental relationships between triangle sides and angles.,I can identify that triangles have three sides and angles.,I can recognize that larger angles oppose longer sides.,I can identify fundamental relationships between triangle sides and angles.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to solve linear equations by systematically applying inverse operations to isolate the unknown variable.,Linear Equations,I can solve first-degree equations using inverse operations systematically.,I can solve simple equations like x + 3 = 7.,I can solve equations involving multiplication and division steps.,I can solve first-degree equations using inverse operations systematically.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to accurately represent ordered pairs as points within coordinate plane systems using proper plotting techniques.,Coordinate Plotting,I can plot number pairs accurately on coordinate systems.,I can plot points in the first quadrant only.,I can plot points using positive and negative coordinates.,I can plot number pairs accurately on coordinate systems.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,"The ability to recognize, apply, and construct geometric figures using both point and line symmetry principles.",Symmetry Applications,I can apply point and axial symmetry to construct shapes.,I can identify symmetrical shapes in simple figures.,I can create shapes with one line of symmetry.,I can apply point and axial symmetry to construct shapes.,T1,POSSIBLE_COMPOUND|SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to compute perimeter and area measurements for various quadrilaterals and triangles using appropriate geometric formulas.,Area and Perimeter,I can calculate perimeter and area for various quadrilaterals and triangles.,I can find perimeter and area of rectangles and squares.,I can calculate area of triangles and parallelograms.,I can calculate perimeter and area for various quadrilaterals and triangles.,T1,SOURCE_FAITHFULNESS_FAIL
Number Operations And Properties,The ability to compute three-dimensional measurements for prisms by applying volume and surface area formulas accurately.,Prism Measurements,I can calculate surface area and volume of rectangular and triangular prisms.,I can find volume of rectangular prisms using length times width times height.,I can calculate surface area by finding areas of all faces.,I can calculate surface area and volume of rectangular and triangular prisms.,T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties And Transformations,"The ability to recognize, categorize, and analyze geometric shapes through their fundamental properties and characteristics.",Triangle and Quadrilateral Classification,I can classify triangles and quadrilaterals by identifying their defining geometric properties.,I can identify basic triangles and quadrilaterals using simple properties like sides and angles.,I can classify triangles and quadrilaterals using multiple properties including symmetry and angle relationships.,I can classify triangles and quadrilaterals by identifying their defining geometric properties.,T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties And Transformations,The ability to perform and analyze geometric transformations using coordinate systems and mathematical rules.,Point Reflection Transformations,I can apply point reflection transformations using coordinate rules to determine image coordinates.,I can perform simple point reflections on a coordinate grid using basic patterns.,I can apply point reflection transformations using coordinate rules to find image points.,I can apply point reflection transformations using coordinate rules to determine image coordinates and verify properties.,T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties And Transformations,The ability to investigate and establish mathematical relationships between geometric properties of specialized quadrilaterals.,Special Quadrilateral Properties,"I can identify properties and derive relationships for parallelograms, trapezoids, and deltoids.","I can identify basic properties of parallelograms, trapezoids, and deltoids using visual features.","I can identify properties and simple relationships for parallelograms, trapezoids, and deltoids.","I can identify properties and derive relationships for parallelograms, trapezoids, and deltoids using geometric principles.",T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties And Transformations,The ability to recognize and understand the specialized line segments and their roles within triangular geometry.,Special Triangle Lines,I can identify special lines in triangles by their geometric properties and relationships.,I can identify basic special lines in triangles like height and median.,I can identify special lines in triangles and describe their basic properties.,I can identify special lines in triangles by their geometric properties and relationships.,T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties And Transformations,The ability to execute geometric transformations systematically using mathematical rules and coordinate calculations.,Geometric Transformation Applications,I can apply geometric transformations using coordinate rules and calculate resulting image coordinates.,I can apply simple geometric transformations using basic coordinate patterns and rules.,I can apply geometric transformations using coordinate rules to find image coordinates.,I can apply geometric transformations using coordinate rules and calculate resulting image coordinates.,T1,SOURCE_FAITHFULNESS_FAIL
Statistical And Probabilistic Reasoning,"The ability to examine mathematical statements and evaluate their logical structure, truth conditions, and conditional relationships.",Conditional Reasoning,I can analyze the logical structure and truth value of mathematical statements using conditional reasoning.,I can identify true and false mathematical statements using simple if-then structures.,I can determine truth values of mathematical statements and explain conditional relationships.,I can analyze the logical structure and truth value of mathematical statements using conditional reasoning.,T2,SOURCE_FAITHFULNESS_FAIL
Statistical And Probabilistic Reasoning,The ability to examine proportional relationships through coordinate systems and interpret their graphical characteristics.,Proportional Analysis,I can analyse proportional relationships using coordinate systems and graphical representations.,I can identify proportional relationships and plot points on coordinate grids.,I can compare proportional relationships using coordinates and simple graphical representations.,I can analyse proportional relationships using coordinate systems and graphical representations.,T2,SOURCE_FAITHFULNESS_FAIL
Statistical And Probabilistic Reasoning,The ability to interpret and analyze graphical data displays to extract meaningful patterns and draw supported conclusions.,Data Analysis,I can analyse graphical data representations to identify patterns and draw evidence-based conclusions.,I can read data from graphs and identify basic patterns.,I can interpret graphical data and describe patterns with simple reasoning.,I can analyse graphical data representations to identify patterns and draw evidence-based conclusions.,T2,SOURCE_FAITHFULNESS_FAIL
Statistical And Probabilistic Reasoning,The ability to examine triangle congruence through systematic application of geometric reasoning and proof strategies.,Triangle Congruence,I can analyse triangle congruence relationships using multiple geometric reasoning strategies.,I can identify congruent triangles using visual comparison and basic properties.,I can determine triangle congruence using side and angle measurements.,I can analyse triangle congruence relationships using multiple geometric reasoning strategies.,T2,SOURCE_FAITHFULNESS_FAIL
Algebraic Expressions And Equations,"The ability to manipulate symbolic mathematical representations through systematic operations, substitution procedures, and adherence to established computational sequences.",Algebraic Operations,I can perform operations with algebraic expressions using order of operations and substitution.,I can substitute numbers into simple expressions and calculate using basic order of operations.,I can expand brackets and perform operations with algebraic expressions following correct order of operations.,I can perform operations with algebraic expressions using order of operations and substitution.,T1,SOURCE_FAITHFULNESS_FAIL
Mathematical Problem Solving Methods,The ability to translate real-world scenarios into mathematical language and solve problems using algebraic representations.,Algebraic Word Problems,I can analyse word problems and construct algebraic equations.,I can solve simple word problems using basic equations.,I can translate word problems into equations with one variable.,I can analyse word problems and construct algebraic equations.,T2,SOURCE_FAITHFULNESS_FAIL
Mathematical Problem Solving Methods,The capacity to examine and calculate percentage relationships across varying mathematical contexts and problem types.,Percentage Relationships,"I can analyze percentage values, rates, and base amounts.",I can find percentage values and calculate simple percentages.,"I can determine percentages, rates, and base amounts in problems.","I can analyze percentage values, rates, and base amounts in contexts.",T2,SOURCE_FAITHFULNESS_FAIL
Mathematical Problem Solving Methods,The skill to examine visual and tabular data representations to discover underlying mathematical connections and rules.,Pattern Analysis,I can analyse patterns in graphs and tables.,I can identify simple patterns in tables and graphs.,I can find patterns and relationships in data displays.,I can analyse patterns in graphs and tables to identify relationships.,T2,SOURCE_FAITHFULNESS_FAIL
