item_id,kud_column,knowledge_type,assessment_route,content,source_block_id,source_excerpt,classification_stability,underspecification_flag,rationale
blk_0008_item_01,know,Type 1,rubric_with_clear_criteria,"The legal status of marriage and civil partnership, including that they carry legal rights, benefits and protections that are not available to couples who are cohabiting or who have, for example, undergone a non-legally binding religious ceremony.",blk_0008,"L13-15: The legal status of marriage and civil partnership, including that they carry legal rights, benefits and protections that are not available to couples who are cohabiting or who have, for example, undergone a non-legally binding religious ceremony.",stable,null,Propositional knowledge about legal facts and distinctions - factual content about how legal systems work that learners must hold
blk_0010_item_01,know,Type 1,rubric_with_clear_criteria,Cohabitants do not obtain marriage-like status or rights from living together or by having children,blk_0010,L17: or rights from living together or by having children.,stable,null,Propositional knowledge - factual claim about legal status that learners must hold
blk_0015_item_01,know,Type 1,rubric_with_clear_criteria,characteristics of successful parenting,blk_0015,L22-23: characteristics of successful parenting and the importance of the early years of a child’s life for brain development.,stable,null,propositional knowledge about parenting characteristics - factual content to be learned
blk_0030_item_01,know,Type 1,rubric_with_clear_criteria,The different types of bullying (including online bullying),blk_0030,L50: responsibilities of bystanders to report bullying and how and where to get help.,classification_unstable,null,Propositional knowledge about categories and definitions - hard prerequisite sequence where understanding types is foundational
blk_0048_item_01,know,Type 1,rubric_with_clear_criteria,the importance of being cautious about sharing personal information online and of using privacy and location settings appropriately to protect information online,blk_0048,L80-82: information online and of using privacy and location settings appropriately to protect information online. Pupils should also understand the difference between public and private online spaces and related safety issues.,stable,null,propositional knowledge about online safety principles and protective measures
blk_0050_item_01,know,Type 1,rubric_with_clear_criteria,Social media accounts may be fake and may post things which aren't real or have been created with AI,blk_0050,"L84-87: and / or may post things which aren’t real / have been created with AI. That social media users may say things in more extreme ways than they might in face-to-face situations, and that some users present highly exaggerated or idealised profiles of themselves online.",stable,null,Propositional knowledge about how social media works - factual content that must be understood
blk_0050_item_02,know,Type 1,rubric_with_clear_criteria,Social media users may say things in more extreme ways than they might in face-to-face situations,blk_0050,"L84-87: and / or may post things which aren’t real / have been created with AI. That social media users may say things in more extreme ways than they might in face-to-face situations, and that some users present highly exaggerated or idealised profiles of themselves online.",stable,null,Propositional knowledge about social media behavior patterns - factual content that must be understood
blk_0050_item_03,know,Type 1,rubric_with_clear_criteria,Some social media users present highly exaggerated or idealised profiles of themselves online,blk_0050,"L84-87: and / or may post things which aren’t real / have been created with AI. That social media users may say things in more extreme ways than they might in face-to-face situations, and that some users present highly exaggerated or idealised profiles of themselves online.",stable,null,Propositional knowledge about social media presentation patterns - factual content that must be understood
blk_0054_item_01,know,Type 1,rubric_with_clear_criteria,"That keeping or forwarding indecent or sexual images of someone under 18 is a crime, even if the photo is of themselves or of someone who has consented, and even if the image was created by the child and/or using AI generated imagery",blk_0054,"L94-101: even if the photo is of themselves or of someone who has consented, and even if the image was created by the child and/or using AI generated imagery. Pupils should understand the potentially serious consequences of acquiring or generating indecent or sexual images of someone under 18, including the potential for criminal charges and severe penalties including imprisonment. Pupils should know how to seek support and should understand that they will not be in trouble for asking for help, either at school or with the police, if an image of themselves has been shared. Pupils should also understand that sharing indecent images of people over 18 without consent is a crime.",stable,null,Propositional knowledge about legal facts - hard prerequisite sequence applies
blk_0054_item_03,know,Type 1,rubric_with_clear_criteria,"How to seek support and that they will not be in trouble for asking for help, either at school or with the police, if an image of themselves has been shared",blk_0054,"L94-101: even if the photo is of themselves or of someone who has consented, and even if the image was created by the child and/or using AI generated imagery. Pupils should understand the potentially serious consequences of acquiring or generating indecent or sexual images of someone under 18, including the potential for criminal charges and severe penalties including imprisonment. Pupils should know how to seek support and should understand that they will not be in trouble for asking for help, either at school or with the police, if an image of themselves has been shared. Pupils should also understand that sharing indecent images of people over 18 without consent is a crime.",stable,null,Factual knowledge about support procedures
