## source_type,england_rshe_secondary
## band_count,1
## age_range_hint,"ages 11-16 (DfE RSHE statutory guidance; secondary phase = Years 7-11, KS3 + KS4; outcomes framed as 'by the end of secondary school')"
## detection_confidence,high
## progression_philosophy,"The DfE RSHE statutory guidance sets outcomes as 'by the end of secondary school' terminal statements. Unlike the National Curriculum, which has Key Stage progression, RSHE uses a single secondary-phase endpoint. Single-band output reflects the guidance's own structure. Per DfE statutory RSHE guidance (England), Children and Social Work Act 2017."
## band_detail | End of Secondary,age_range=ages 11-16,grade_year=Years 7-11 (KS3 and KS4),"Secondary pupils develop the knowledge, values and personal qualities needed to navigate relationships, health and wellbeing across the full secondary phase. Outcomes are framed as terminal goals for all secondary pupils; year-group sequencing is a school decision."

competency_cluster,lt_id,lt_name,lt_definition,knowledge_type,assessment_route,lt_stability,kud_items_covered,prerequisites,end_of_secondary,band_statements_stability,band_gate_status
"cluster_01: Marriage, Civil Partnership, and Family Structures",cluster_01_lt_01,Legal Status of Relationships,"I can explain the legal differences between marriage, civil partnership, and cohabitation including their respective rights and protections.",Type 1,rubric_with_clear_criteria,stable,blk_0008_item_01; blk_0010_item_01,,"I can explain the legal differences between marriage, civil partnership, and cohabitation including their respective rights and protections.",stable,PASS
"cluster_01: Marriage, Civil Partnership, and Family Structures",cluster_01_lt_02,Family Dynamics and Parenting,I can describe how families change over time and identify characteristics of successful parenting including early childhood development.,Type 1,rubric_with_clear_criteria,stable,blk_0013_item_01; blk_0015_item_01; blk_0015_item_02,,I can analyse how family structures evolve and evaluate key characteristics that contribute to effective parenting practices.,stable,PASS
cluster_02: Healthy Romantic Relationships,cluster_02_lt_01,Understanding Healthy Relationship Principles,"I can explain the role of consent, trust, respect, and ethical behaviour in maintaining healthy romantic relationships.",Type 1,rubric_with_clear_criteria,stable,blk_0021_item_01; blk_0034_item_01; blk_0034_item_02,,"I can explain how consent, trust, respect, and ethical behaviour contribute to healthy romantic relationships.",stable,PASS
cluster_02: Healthy Romantic Relationships,cluster_02_lt_02,Evaluating Relationship Safety,I can judge when a relationship is unsafe and identify appropriate sources of help.,Type 2,reasoning_quality_rubric,stable,blk_0017_item_01,,I can evaluate relationship dynamics to identify unsafe situations and determine appropriate support resources.,stable,PASS
cluster_03: Respectful Relationships and Self-Worth,cluster_03_lt_01,Understanding Equality and Self-Worth,I can explain the legal rights and responsibilities regarding equality and the importance of self-esteem in healthy relationships.,Type 1,rubric_with_clear_criteria,stable,blk_0023_item_02; blk_0025_item_01; blk_0025_item_03,,I can explain how equality laws protect individuals and describe how self-esteem influences relationship dynamics.,stable,PASS
cluster_03: Respectful Relationships and Self-Worth,cluster_03_lt_02,Respectful Communication Skills,I can apply communication strategies that demonstrate respect in relationships and conflict situations.,Type 2,reasoning_quality_rubric,stable,blk_0028_item_01,,I can apply effective communication strategies to demonstrate respect and resolve conflicts in personal relationships.,stable,PASS
cluster_03: Respectful Relationships and Self-Worth,cluster_03_lt_03,Sustained Respectful Treatment of Others,The student consistently treats others with kindness and respect while developing personal interests and independence.,Type 3,multi_informant_observation,stable,blk_0023_item_01; blk_0025_item_02,Understanding Equality and Self-Worth,,,N/A (Type 3)
cluster_04: Addressing Bullying and Ending Relationships,cluster_04_lt_01,Recognising Bullying and Seeking Help,"I can identify different types of bullying, explain their impact, and describe how to get help.",Type 2,reasoning_quality_rubric,stable,blk_0030_item_01; blk_0030_item_02; blk_0030_item_03,,"I can identify different types of bullying, explain their harmful effects, and describe effective strategies for seeking help.",band_statements_unstable,PASS
cluster_04: Addressing Bullying and Ending Relationships,cluster_04_lt_02,Managing Relationship Endings with Kindness,I can apply skills to end relationships kindly and manage difficult feelings.,Type 2,reasoning_quality_rubric,stable,blk_0032_item_01,,I can apply communication and emotional regulation skills to end relationships respectfully and manage associated difficult feelings.,stable,PASS
cluster_04: Addressing Bullying and Ending Relationships,cluster_04_lt_03,Upholding Bystander Responsibility,The student enacts responsibility to report bullying when witnessed.,Type 3,multi_informant_observation,stable,blk_0030_item_04,Recognising Bullying and Seeking Help,,,N/A (Type 3)
