Competency,Competency Definition,LT Name,LT Definition,Year 6,Year 7,Year 8,Knowledge Type,Flags
Number Systems and Operations,The ability to apply systematic counting methods and probability principles to determine arrangements and selections in mathematical contexts.,Counting Principles,I can calculate arrangements and selections using counting principles and combinations.,I can count simple arrangements using basic multiplication principles.,I can calculate permutations and combinations for basic selection problems.,I can calculate arrangements and selections using counting principles and combinations.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to recognize and work with logical constructs that form the foundation of mathematical reasoning and proof.,Logical Structures,I can identify logical structures in mathematical statements and conditions.,I can identify simple mathematical patterns and basic logical connections.,I can recognize if-then statements and simple logical structures in mathematics.,I can identify logical structures in mathematical statements and conditions.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to perform computational procedures with fractional numbers using established mathematical algorithms.,Fraction Operations,I can perform arithmetic operations with fractions using standard algorithms.,I can add and subtract fractions with like denominators using procedures.,I can multiply and divide simple fractions using standard algorithms.,I can perform arithmetic operations with fractions using standard algorithms.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to categorize decimal representations according to their mathematical properties and characteristics.,Decimal Classification,"I can classify decimal numbers as finite, infinite, or periodic.",I can identify basic decimal types like finite and simple repeating decimals.,I can distinguish between finite and infinite decimal representations.,"I can classify decimal numbers as finite, infinite, or periodic.",T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to apply systematic procedures for approximating numerical values to specified levels of precision.,Rounding Rules,I can apply rounding rules to whole numbers and decimals.,I can round whole numbers to the nearest ten or hundred.,I can round decimals to one decimal place using rounding rules.,I can apply rounding rules to whole numbers and decimals.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to transform numerical representations between different mathematical systems using conversion procedures.,Number System Conversions,I can convert between different number systems using correct procedures.,I can convert between simple fractions and decimals using basic procedures.,"I can convert between fractions, decimals and percentages using standard methods.",I can convert between different number systems using correct procedures.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to decompose numbers into prime components and apply divisibility concepts to find common factors and multiples.,Prime Factorization,I can identify prime factors and find greatest common divisors.,I can find factors of numbers using simple division methods.,I can identify prime factors and apply basic divisibility rules.,I can identify prime factors and find greatest common divisors.,T1,POSSIBLE_COMPOUND|SOURCE_FAITHFULNESS_FAIL|COMPETENCY_MAPPING_UNCERTAIN
Number Systems and Operations,The ability to isolate variables in algebraic equations using systematic solution procedures.,Linear Equations,I can solve one-step linear equations using inverse operations.,I can solve simple addition and subtraction equations using inverse operations.,I can solve basic multiplication and division equations using inverse operations.,I can solve one-step linear equations using inverse operations.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to compute proportional relationships and percentage changes using established mathematical formulas.,Percentage Calculations,I can apply percentage formulas to calculate increases and decreases.,I can calculate simple percentages using basic multiplication methods.,I can calculate percentage increases and decreases using formulas.,I can apply percentage formulas to calculate increases and decreases.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to identify and describe the mathematical properties of relations and mappings between sets.,Function Properties,"I can identify domain, range, and function types accurately.",I can identify simple input-output relationships in basic patterns.,I can identify domain and range in simple function relationships.,"I can identify domain, range, and function types accurately.",T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to locate and represent points within coordinate systems using mathematical notation conventions.,Coordinate Points,I can identify and plot points using coordinate notation.,I can plot simple points on a coordinate grid using whole numbers.,I can identify and plot points using positive coordinate notation.,I can identify and plot points using coordinate notation.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to compute measures of central tendency from numerical data using statistical procedures.,Statistical Measures,"I can calculate mean, median, and mode from data sets.",I can find the mode and median from simple data sets.,I can calculate mean and median from organized data sets.,"I can calculate mean, median, and mode from data sets.",T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to recognize geometric figures with identical shape and size using established mathematical criteria.,Triangle Congruence,I can identify congruent triangles using standard criteria.,I can identify triangles that look identical in shape and size.,I can recognize congruent triangles using basic comparison methods.,I can identify congruent triangles using standard criteria.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to compute linear and spatial measurements of polygonal shapes using geometric formulas.,Polygon Measurements,I can apply area and perimeter formulas to calculate polygon measurements.,I can calculate perimeter and area of simple rectangles and squares.,I can apply area and perimeter formulas to basic polygon shapes.,I can apply area and perimeter formulas to calculate polygon measurements.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to compute angular and linear properties of many-sided figures using geometric relationships.,Polygon Properties,I can apply polygon angle and diagonal formulas accurately.,I can identify angles in simple polygons like triangles and squares.,I can calculate interior angles of basic polygons using formulas.,I can apply polygon angle and diagonal formulas accurately.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to compute three-dimensional measurements of rectangular solids using volumetric and surface formulas.,Prism Calculations,I can calculate surface area and volume of prisms accurately.,I can find volume of simple rectangular prisms using length times width.,I can calculate volume and basic surface area of rectangular prisms.,I can calculate surface area and volume of prisms accurately.,T1,SOURCE_FAITHFULNESS_FAIL
Number Systems and Operations,The ability to create and analyze mathematical relationships through coordinate graphing and data interpretation.,Coordinate Graphs,I can construct coordinate graphs and interpret mathematical relationships.,I can plot simple points and create basic coordinate graphs.,I can construct coordinate graphs and identify basic mathematical patterns.,I can construct coordinate graphs and interpret mathematical relationships.,T1,SOURCE_FAITHFULNESS_FAIL
Algebraic Expressions and Equations,The ability to apply mathematical laws and rules to transform and simplify algebraic expressions systematically.,Exponent Laws,I can apply exponent laws and identities to simplify expressions.,I can use basic multiplication to write repeated factors as exponents.,I can apply simple exponent rules like multiplying powers with same base.,I can apply exponent laws and identities to simplify expressions.,T1,SOURCE_FAITHFULNESS_FAIL
Algebraic Expressions and Equations,The ability to apply mathematical laws and rules to transform and simplify algebraic expressions systematically.,Expression Manipulation,I can apply algebraic rules to manipulate expressions into forms.,I can combine like terms and apply distributive property with numbers.,I can use algebraic rules to simplify expressions with one variable.,I can apply algebraic rules to manipulate expressions into equivalent forms.,T1,SOURCE_FAITHFULNESS_FAIL
Statistics and Probability Concepts,The ability to analyze statistical relationships and probability patterns within mathematical data collections and interpret their connections.,Frequency-Probability Relationships,I can identify the mathematical relationship between frequency and probability in data sets.,I can count outcomes and describe how often events happen in simple data.,I can calculate frequency and connect it to likelihood of events in data collections.,I can identify the mathematical relationship between frequency and probability in data sets.,T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties and Transformations,The ability to recognize and categorize geometric figures based on their defining characteristics and structural properties.,Shape Classification,I can classify triangles and quadrilaterals according to their geometric properties.,I can sort triangles and squares by counting sides and corners.,I can group triangles by side lengths and quadrilaterals by parallel sides.,I can classify triangles and quadrilaterals according to their geometric properties.,T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties and Transformations,The capacity to recognize and distinguish between different types of geometric movements and their mathematical descriptions.,Transformation Recognition,I can identify types of geometric transformations from their visual representations.,"I can spot when shapes are flipped, turned, or moved.","I can name reflections, rotations, and translations from shape movements.",I can identify types of geometric transformations from their visual representations.,T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties and Transformations,The skill to understand and identify the fundamental characteristics that define reflection operations in geometry.,Reflection Properties,I can identify reflection properties including symmetry lines and angle preservation.,I can find lines of symmetry in simple shapes.,I can identify mirror lines and equal distances in reflections.,I can identify reflection properties including symmetry lines and angle preservation.,T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties and Transformations,The knowledge of distinctive attributes that characterize specific categories of four-sided geometric figures.,Quadrilateral Properties,"I can identify defining properties of parallelograms, trapezoids, and kites.","I can recognize rectangles, squares, and basic four-sided shapes.",I can identify parallel sides in quadrilaterals and basic properties.,"I can identify defining properties of parallelograms, trapezoids, and kites.",T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties and Transformations,The understanding of how triangle sides and angles relate to each other and the properties of important triangle segments.,Triangle Relationships,I can identify triangle side-angle relationships and properties of special lines.,I can compare triangle side lengths and identify right angles.,I can relate longer sides to larger angles in triangles.,I can identify triangle side-angle relationships and properties of special lines.,T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties and Transformations,The practical skill to perform geometric movements on shapes with precision and mathematical correctness.,Transformation Application,"I can apply reflections, rotations, and translations to shapes accurately.",I can flip and slide simple shapes on grid paper.,I can perform basic transformations using coordinate grids and instructions.,"I can apply reflections, rotations, and translations to shapes accurately.",T1,SOURCE_FAITHFULNESS_FAIL
Geometric Properties and Transformations,The computational ability to determine area and volume measurements using established geometric formulas.,Area and Volume,I can calculate areas and volumes using correct formulas for shapes.,I can find areas of rectangles and count unit cubes for volume.,I can calculate areas of triangles and parallelograms using basic formulas.,I can calculate areas and volumes using correct formulas for shapes.,T1,SOURCE_FAITHFULNESS_FAIL
Mathematical Problem-Solving Approaches,The ability to translate real-world situations into mathematical equations and solve complex word problems systematically.,Equation Construction,I can construct equations that accurately represent mathematical relationships in word problems.,I can write simple equations using one variable from basic word problems.,I can create equations with multiple operations from multi-step word problem scenarios.,I can construct equations that accurately represent mathematical relationships in word problems.,T2,SOURCE_FAITHFULNESS_FAIL
