item_id,kud_column,knowledge_type,assessment_route,content,source_block_id,source_excerpt,classification_stability,underspecification_flag,rationale
blk_0039_item_01,know,Type 1,rubric_with_clear_criteria,"The term map refers to print, digital, and interactive maps.",blk_0039,"L139-140: * The term map refers to print, digital, and interactive maps. Students may analyse and create maps on paper or using mapping programs.",stable,null,This is a definitional claim — a propositional statement about what the term 'map' encompasses in this curriculum context. It is factual content the learner must hold. Decision-tree branch 1: hard prerequisite sequence (understanding what 'map' means is foundational to subsequent map analysis and creation tasks). Type 1 know.
blk_0047_item_01,know,Type 1,rubric_with_clear_criteria,"Factual knowledge of Inuit communities in Canada between 1713 and 1800, including gender roles, religious practices, spirituality, ceremonies and rituals, living conditions, diet, and recreation.",blk_0047,"L155-162: Inuit communities, in Canada between 1713 and 1800 (e.g., with reference to gender roles, religious practices, spirituality, ceremonies and rituals, living conditions, diet, recreation, and/or political rights; attitudes towards slavery, social class, the role of women, and/or crime and punishment; attitudes of newcomers/settlers and First Nations, Métis, and Inuit towards each other and towards the land) Teacher supports Sample Questions • What are the main differences between your life and the life of a child in Haudenosaunee society or on a seigneurie in New France?",classification_unstable,mild,"Decision tree Step 1: This content names propositional facts and concepts about a specific historical period and community that must be learned as foundational knowledge. No hard prerequisite sequence is stated within the block, but the facts are discrete and assessable via knowledge check or explanation task. Type 1 Know."
blk_0047_item_02,know,Type 1,rubric_with_clear_criteria,"Factual knowledge of attitudes towards slavery, social class, the role of women, and crime and punishment in Inuit communities between 1713 and 1800.",blk_0047,"L155-162: Inuit communities, in Canada between 1713 and 1800 (e.g., with reference to gender roles, religious practices, spirituality, ceremonies and rituals, living conditions, diet, recreation, and/or political rights; attitudes towards slavery, social class, the role of women, and/or crime and punishment; attitudes of newcomers/settlers and First Nations, Métis, and Inuit towards each other and towards the land) Teacher supports Sample Questions • What are the main differences between your life and the life of a child in Haudenosaunee society or on a seigneurie in New France?",classification_unstable,mild,Decision tree Step 1: Propositional content about historical attitudes and social structures. Assessable via knowledge check or explanation. Type 1 Know.
blk_0050_item_01,know,Type 1,rubric_with_clear_criteria,Central values and world views of Inuit in the eighteenth century,blk_0050,L168-170: • What were some central values and world views of Inuit in the eighteenth century? What are some ways in which these values and world views are reflected in present-day Inuit communities?,classification_unstable,null,The first part of the question asks learners to identify and hold propositional knowledge about specific historical content — the values and world views of Inuit peoples in a defined historical period. This is factual/conceptual content that must be understood and can be assessed through knowledge checks or explanation tasks. Decision-tree branch 1: hard prerequisite sequence exists (learners must know what these values were before they can reason about their continuity or change).
blk_0057_item_01,know,Type 1,rubric_with_clear_criteria,"Types and sources of care available for sick people in eighteenth-century Canada, including medicines of Indigenous origin and their role in medical practice at that time.",blk_0057,L193-194: • What sort of care was available for sick people in eighteenth-century Canada? Why were medicines of Indigenous origin so important at this time? Why are they still important today?,classification_unstable,mild,"Decision-tree branch 1: This is propositional/factual content about historical conditions and practices. The learner must hold specific knowledge about what care existed, what medicines were used, and their origins. This is hierarchical knowledge — understanding the historical context of Indigenous medicines requires knowing what those medicines were and how they were used. Assessed via knowledge test or explanation rubric."
blk_0059_item_01,know,Type 1,rubric_with_clear_criteria,"Métis, and Inuit communities, who were living in or who came to Canada between 1713 and 1800, including the expulsion of the Acadians; the forced relocation experienced by many First Nations and/or Métis to reserves or different territories; the migration of Loyalists to various regions of Canada; the forced migration of African slaves to New France and British North America; and the immigration of people to Canada",blk_0059,"L196-199: Métis, and Inuit communities, who were living in or who came to Canada between 1713 and 1800 (e.g., the expulsion of the Acadians; the forced relocation experienced by many First Nations and/or Métis to reserves or different territories; the migration of Loyalists to various regions of Canada; the forced migration of African slaves to New France and British North America; the immigration of people to",stable,null,"This block presents propositional historical content — specific events, populations, and movements within a defined time period (1713–1800). The learner is expected to hold factual knowledge of these events and communities. This is Type 1 hierarchical knowledge: understanding the demographic and territorial composition of Canada during this period is foundational to subsequent historical analysis. Assessment is via knowledge test or rubric with clear criteria (e.g., can the learner identify and describe these events and migrations)."
blk_0069_item_02,know,Type 1,rubric_with_clear_criteria,"Significant events, developments, and issues related to the shift in power in colonial Canada from France to Britain, including the expulsion of the Acadians; treaties and alliances among First Nations and between First Nations and European nations, including the Treaty of Niagara, 1764; key battles in the North American colonies; legal and territorial changes as a result of the Seven Years' War; increased settlement by British immigrants; challenges associated with Britain administering a colony with a French majority; the Constitutional Act.",blk_0069,"L223-229: A2.1 formulate questions to guide investigations into perspectives of different groups and communities, including First Nations, Métis, and/or Inuit communities, on some significant events, developments, and/or issues related to the shift in power in colonial Canada from France to Britain (e.g., the expulsion of the Acadians; treaties and alliances among First Nations and between First Nations and European nations, including the Treaty of Niagara, 1764; key battles in the North American colonies; legal and territorial changes as a result of the Seven Years’ War; increased settlement by British immigrants; challenges associated with Britain administering a colony with a French majority; the Constitutional Act,",stable,null,"This is propositional content — a set of historical facts, events, and concepts that learners must know and be able to identify and explain. These are the substantive referents that ground the inquiry skill in A2.1. Type 1 because the content is factual and can be assessed through knowledge checks and explanation tasks with clear criteria."
blk_0070_item_01,know,Type 1,rubric_with_clear_criteria,Groups involved in the Battle of the Plains of Abraham and their roles in the conflict,blk_0070,L230-234: 1791; the creation of the North West Company and other fur trade companies; the Jay Treaty) Teacher supports Sample Questions • What groups were involved in the Battle of the Plains of Abraham? Why would each group have viewed the conflict differently?,classification_unstable,mild,The source names a specific historical event and asks learners to identify which groups were involved. This is propositional historical knowledge — factual content about who participated — assessable via knowledge test or explanation task.
blk_0086_item_03,know,Type 1,rubric_with_clear_criteria,"America during the Seven Years' War; the displacement of groups, including Indigenous communities, from the Maritime colonies.",blk_0086,"L281-287: America during the Seven Years’ War; analyse flow maps to show where groups, including Indigenous communities, were displaced from and where they went; analyse population maps to determine changes in settlement patterns and the groups, including Indigenous communities, that were affected) Teacher supports Sample Questions • What type of map could you use to show the routes taken by the Acadians after they were expelled from the Maritime colonies?",classification_unstable,null,This names propositional historical content—the historical context and the fact of displacement during this period. The learner must hold factual knowledge of what occurred during the Seven Years' War in America and which groups were displaced. This is Type 1 propositional knowledge assessable via knowledge check or explanation task.
blk_0097_item_01,know,Type 1,rubric_with_clear_criteria,"Vocabulary appropriate to historical inquiry and communication about colonial North America: perspective, colony, treaty, expulsion, displacement, values, roles, power, conflict, Acadian, medicines, oral histories, ethnogenesis.",blk_0097,"L323-327: A2.7 communicate the results of their inquiries using appropriate vocabulary (e.g., perspective, colony, treaty, expulsion, displacement, values, roles, power, conflict, Acadian, medicines, oral histories, ethnogenesis) and formats appropriate for specific audiences (e.g., a historical narrative in storybook or graphic form about the responses of different people to the expulsion of the Acadians; 253",stable,null,"This block specifies propositional content — a defined set of historical and analytical vocabulary terms that learners must know and be able to use. These are factual/conceptual items with a fixed referent, assessable via knowledge check or vocabulary demonstration. Type 1 (hierarchical knowledge: understanding these terms is prerequisite to using them in communication tasks)."
